Runtime,Bytes Transmitted,Instant Frame Time (ms),Instant FPS,Avg Frame Time (ms),Avg FPS,Temperature (C),Framesize,Voltage
9154,8155,23,43.48,23,43.48,53.89,320x240,3v4
9182,8155,27,37.04,25,40.00,53.89,320x240,3v4
9204,8289,22,45.45,24,41.67,53.89,320x240,3v4
9228,7937,23,43.48,23,43.48,53.89,320x240,3v4
9252,7937,24,41.67,23,43.48,53.89,320x240,3v4
9279,7937,26,38.46,24,41.67,53.89,320x240,3v4
9301,8335,21,47.62,23,43.48,53.89,320x240,3v4
9329,7986,28,35.71,24,41.67,54.44,320x240,3v4
9357,7986,27,37.04,24,41.67,54.44,320x240,3v4
9379,7986,22,45.45,24,41.67,55.00,320x240,3v4
9406,7986,26,38.46,24,41.67,54.44,320x240,3v4
9431,7986,25,40.00,24,41.67,53.89,320x240,3v4
9465,9142,34,29.41,25,40.00,54.44,320x240,3v4
9488,7500,23,43.48,25,40.00,54.44,320x240,3v4
9517,7500,29,34.48,25,40.00,54.44,320x240,3v4
9546,7500,28,35.71,25,40.00,54.44,320x240,3v4
9571,8578,24,41.67,25,40.00,54.44,320x240,3v4
9597,7350,26,38.46,25,40.00,54.44,320x240,3v4
9625,7348,27,37.04,25,40.00,55.00,320x240,3v4
9648,7778,23,43.48,25,40.00,54.44,320x240,3v4
9674,8038,25,40.00,25,40.00,54.44,320x240,3v4
9701,8795,27,37.04,25,40.00,53.89,320x240,3v4
9726,7991,25,40.00,25,40.00,55.56,320x240,3v4
9748,7991,21,47.62,25,40.00,54.44,320x240,3v4
9771,7138,22,45.45,25,40.00,54.44,320x240,3v4
9797,8004,26,38.46,25,40.00,54.44,320x240,3v4
9823,8004,25,40.00,25,40.00,54.44,320x240,3v4
9845,8004,22,45.45,25,40.00,54.44,320x240,3v4
9873,8004,27,37.04,25,40.00,54.44,320x240,3v4
9899,9001,26,38.46,25,40.00,54.44,320x240,3v4
9920,7433,21,47.62,25,40.00,54.44,320x240,3v4
9946,8559,26,38.46,25,40.00,54.44,320x240,3v4
9971,8475,24,41.67,24,41.67,54.44,320x240,3v4
9997,7662,26,38.46,25,40.00,53.89,320x240,3v4
10020,7973,23,43.48,24,41.67,54.44,320x240,3v4
10047,7973,26,38.46,24,41.67,54.44,320x240,3v4
10079,8237,32,31.25,25,40.00,54.44,320x240,3v4
10099,6792,20,50.00,24,41.67,54.44,320x240,3v4
10125,8114,25,40.00,24,41.67,53.89,320x240,3v4
10159,8208,34,29.41,25,40.00,54.44,320x240,3v4
10186,8180,26,38.46,25,40.00,54.44,320x240,3v4
10218,8180,31,32.26,25,40.00,54.44,320x240,3v4
10247,8180,29,34.48,25,40.00,54.44,320x240,3v4
10282,8180,34,29.41,26,38.46,54.44,320x240,3v4
10316,6953,33,30.30,26,38.46,54.44,320x240,3v4
10340,8180,24,41.67,26,38.46,54.44,320x240,3v4
10366,8180,25,40.00,26,38.46,54.44,320x240,3v4
10403,8180,37,27.03,27,37.04,54.44,320x240,3v4
10427,8180,23,43.48,27,37.04,54.44,320x240,3v4
10448,8180,21,47.62,27,37.04,56.11,320x240,3v4
10475,8207,27,37.04,27,37.04,55.00,320x240,3v4
10523,7676,47,21.28,28,35.71,55.00,320x240,3v4
10546,7881,22,45.45,28,35.71,54.44,320x240,3v4
10569,8462,23,43.48,28,35.71,54.44,320x240,3v4
10592,7489,23,43.48,28,35.71,54.44,320x240,3v4
10619,8587,26,38.46,28,35.71,54.44,320x240,3v4
10646,8503,27,37.04,27,37.04,55.56,320x240,3v4
10670,7491,24,41.67,28,35.71,55.56,320x240,3v4
10693,7770,22,45.45,27,37.04,54.44,320x240,3v4
10714,7127,21,47.62,27,37.04,55.00,320x240,3v4
10739,7934,24,41.67,27,37.04,54.44,320x240,3v4
10763,8262,24,41.67,26,38.46,56.11,320x240,3v4
10789,8029,25,40.00,26,38.46,54.44,320x240,3v4
10816,8298,27,37.04,26,38.46,55.00,320x240,3v4
10840,8196,24,41.67,25,40.00,55.00,320x240,3v4
10865,7525,24,41.67,25,40.00,55.00,320x240,3v4
10891,7641,25,40.00,25,40.00,56.11,320x240,3v4
