Runtime,Bytes Transmitted,Instant Frame Time (ms),Instant FPS,Avg Frame Time (ms),Avg FPS,Temperature (C),Framesize,Voltage
13348,7821,4993,0.20,396,2.53,59.44,320x240,3v1
13379,8175,31,32.26,372,2.69,58.89,320x240,3v1
14727,9019,1347,0.74,433,2.31,59.44,320x240,3v1
14762,8742,35,28.57,409,2.44,59.44,320x240,3v1
14802,8523,39,25.64,389,2.57,59.44,320x240,3v1
14865,7323,62,16.13,372,2.69,61.11,320x240,3v1
14892,10736,27,37.04,354,2.82,59.44,320x240,3v1
14920,8349,28,35.71,352,2.84,60.00,320x240,3v1
14956,8507,36,27.78,353,2.83,59.44,320x240,3v1
14988,7334,32,31.25,353,2.83,59.44,320x240,3v1
15019,9459,30,33.33,353,2.83,60.00,320x240,3v1
15063,10660,44,22.73,354,2.82,60.00,320x240,3v1
15096,7940,32,31.25,354,2.82,59.44,320x240,3v1
15120,6797,24,41.67,354,2.82,59.44,320x240,3v1
15211,8769,90,11.11,357,2.80,60.00,320x240,3v1
15241,7070,30,33.33,357,2.80,60.00,320x240,3v1
15326,8769,84,11.90,359,2.79,59.44,320x240,3v1
15351,8568,25,40.00,359,2.79,60.00,320x240,3v1
15387,8708,35,28.57,360,2.78,60.00,320x240,3v1
15423,9274,35,28.57,352,2.84,60.00,320x240,3v1
15447,7768,24,41.67,104,9.62,60.00,320x240,3v1
15478,8662,30,33.33,104,9.62,60.00,320x240,3v1
15514,8633,35,28.57,38,26.32,60.56,320x240,3v1
15551,9745,37,27.03,38,26.32,60.00,320x240,3v1
15610,10420,59,16.95,39,25.64,59.44,320x240,3v1
15635,8465,24,41.67,38,26.32,60.56,320x240,3v1
15659,7958,24,41.67,37,27.03,60.00,320x240,3v1
15699,9118,40,25.00,38,26.32,60.00,320x240,3v1
15740,9181,41,24.39,38,26.32,60.00,320x240,3v1
15782,8953,42,23.81,39,25.64,60.56,320x240,3v1
15830,7459,47,21.28,40,25.00,61.67,320x240,3v1
15854,8072,23,43.48,39,25.64,60.00,320x240,3v1
15887,8401,33,30.30,39,25.64,60.00,320x240,3v1
15930,9289,43,23.26,40,25.00,60.00,320x240,3v1
15954,8555,24,41.67,36,27.78,61.11,320x240,3v1
15984,8438,29,34.48,36,27.78,60.56,320x240,3v1
16031,8159,47,21.28,34,29.41,60.56,320x240,3v1
16069,8221,37,27.03,35,28.57,60.00,320x240,3v1
16092,7847,23,43.48,34,29.41,60.00,320x240,3v1
16128,8040,35,28.57,34,29.41,60.56,320x240,3v1
16154,8665,26,38.46,34,29.41,60.56,320x240,3v1
16198,9123,43,23.26,35,28.57,60.00,320x240,3v1
16246,9067,48,20.83,36,27.78,60.00,320x240,3v1
16285,8393,38,26.32,36,27.78,59.44,320x240,3v1
16322,9160,37,27.03,35,28.57,60.56,320x240,3v1
16353,9232,31,32.26,35,28.57,60.56,320x240,3v1
16438,10554,84,11.90,38,26.32,60.56,320x240,3v1
16488,10800,50,20.00,39,25.64,60.00,320x240,3v1
16547,9634,58,17.24,39,25.64,60.56,320x240,3v1
16569,7000,22,45.45,38,26.32,60.00,320x240,3v1
16599,9331,29,34.48,38,26.32,61.11,320x240,3v1
16643,9223,44,22.73,39,25.64,60.00,320x240,3v1
16670,9048,26,38.46,38,26.32,60.56,320x240,3v1
16724,9800,54,18.52,39,25.64,61.11,320x240,3v1
16751,7865,26,38.46,39,25.64,60.56,320x240,3v1
16781,9089,29,34.48,39,25.64,60.56,320x240,3v1
16806,8475,24,41.67,38,26.32,60.56,320x240,3v1
16835,9021,29,34.48,37,27.03,60.56,320x240,3v1
16862,8925,26,38.46,37,27.03,60.56,320x240,3v1
16887,10671,25,40.00,37,27.03,60.56,320x240,3v1
16928,8133,41,24.39,38,26.32,60.00,320x240,3v1
16963,10845,35,28.57,37,27.03,60.00,320x240,3v1
16987,9098,24,41.67,36,27.78,60.00,320x240,3v1
17022,7460,35,28.57,36,27.78,60.00,320x240,3v1
17053,10465,31,32.26,36,27.78,60.00,320x240,3v1
17095,7950,41,24.39,36,27.78,60.56,320x240,3v1
17143,9203,48,20.83,34,29.41,60.56,320x240,3v1
17168,9733,24,41.67,33,30.30,60.00,320x240,3v1
17219,10462,51,19.61,33,30.30,60.56,320x240,3v1
17263,10138,44,22.73,34,29.41,60.00,320x240,3v1
17309,8644,45,22.22,35,28.57,60.56,320x240,3v1
17333,9270,23,43.48,34,29.41,60.00,320x240,3v1
17361,8971,27,37.04,34,29.41,60.00,320x240,3v1
17390,7264,29,34.48,32,31.25,60.56,320x240,3v1
17428,9305,37,27.03,33,30.30,60.56,320x240,3v1
17460,6987,32,31.25,33,30.30,60.56,320x240,3v1
17489,8853,28,35.71,33,30.30,60.56,320x240,3v1
17520,10971,30,33.33,33,30.30,60.56,320x240,3v1
17548,7588,28,35.71,33,30.30,60.56,320x240,3v1
17621,8054,73,13.70,36,27.78,61.67,320x240,3v1
17646,9833,24,41.67,35,28.57,60.56,320x240,3v1
18727,8419,1081,0.93,87,11.49,60.00,320x240,3v1
18763,9310,35,28.57,88,11.36,60.00,320x240,3v1
18800,7818,36,27.78,88,11.36,60.56,320x240,3v1
18827,6727,27,37.04,88,11.36,60.56,320x240,3v1
18904,9305,77,12.99,89,11.24,60.00,320x240,3v1
18936,7806,31,32.26,89,11.24,60.56,320x240,3v1
18966,10816,30,33.33,89,11.24,60.00,320x240,3v1
20227,9279,1260,0.79,149,6.71,60.00,320x240,3v1
20251,8907,24,41.67,148,6.76,60.00,320x240,3v1
20295,10196,43,23.26,148,6.76,60.00,320x240,3v1
21745,11026,1449,0.69,220,4.55,60.00,320x240,3v1
21815,10163,69,14.49,222,4.50,60.00,320x240,3v1
21838,8986,23,43.48,221,4.52,60.56,320x240,3v1
21870,7540,32,31.25,221,4.52,61.11,320x240,3v1
21892,9131,21,47.62,221,4.52,60.00,320x240,3v1
21923,7815,30,33.33,221,4.52,61.11,320x240,3v1
21951,9139,28,35.71,221,4.52,60.56,320x240,3v1
21990,10862,39,25.64,221,4.52,60.56,320x240,3v1
22023,9198,32,31.25,219,4.57,60.56,320x240,3v1
22049,9027,26,38.46,219,4.57,60.56,320x240,3v1
22075,7941,25,40.00,166,6.02,60.56,320x240,3v1
22098,8459,23,43.48,166,6.02,60.56,320x240,3v1
22151,7928,52,19.23,167,5.99,61.11,320x240,3v1
22185,9135,34,29.41,167,5.99,60.56,320x240,3v1
22214,9587,28,35.71,164,6.10,60.56,320x240,3v1
22258,9985,43,23.26,165,6.06,61.11,320x240,3v1
22284,9122,26,38.46,165,6.06,61.11,320x240,3v1
22312,8571,27,37.04,103,9.71,61.11,320x240,3v1
22346,8011,34,29.41,104,9.62,60.56,320x240,3v1
22487,10839,141,7.09,109,9.17,61.11,320x240,3v1
22546,8626,58,17.24,39,25.64,60.56,320x240,3v1
22603,9918,57,17.54,38,26.32,60.56,320x240,3v1
22639,7501,35,28.57,39,25.64,60.56,320x240,3v1
22662,6519,23,43.48,39,25.64,60.56,320x240,3v1
22702,8836,39,25.64,40,25.00,61.67,320x240,3v1
22736,8835,34,29.41,40,25.00,61.11,320x240,3v1
22777,8596,40,25.00,40,25.00,60.56,320x240,3v1
22808,8983,31,32.26,40,25.00,61.67,320x240,3v1
22843,9631,35,28.57,40,25.00,60.56,320x240,3v1
22867,7939,23,43.48,40,25.00,61.11,320x240,3v1
22902,9205,34,29.41,40,25.00,60.56,320x240,3v1
22951,8957,49,20.41,42,23.81,60.56,320x240,3v1
22981,8938,29,34.48,41,24.39,60.56,320x240,3v1
23004,7611,22,45.45,40,25.00,61.11,320x240,3v1
23048,9082,44,22.73,41,24.39,60.56,320x240,3v1
23071,8072,23,43.48,40,25.00,60.56,320x240,3v1
23100,8072,28,35.71,40,25.00,61.11,320x240,3v1
23127,8072,27,37.04,40,25.00,61.11,320x240,3v1
23155,8929,28,35.71,40,25.00,60.56,320x240,3v1
23188,8464,33,30.30,34,29.41,60.56,320x240,3v1
23214,7794,25,40.00,32,31.25,61.11,320x240,3v1
23257,10921,43,23.26,32,31.25,60.56,320x240,3v1
23288,7995,30,33.33,32,31.25,60.56,320x240,3v1
23315,8548,27,37.04,32,31.25,61.11,320x240,3v1
23363,9225,47,21.28,32,31.25,61.67,320x240,3v1
23397,8944,33,30.30,32,31.25,61.67,320x240,3v1
23454,9303,57,17.54,33,30.30,61.11,320x240,3v1
23484,9580,30,33.33,33,30.30,61.11,320x240,3v1
23519,8986,34,29.41,33,30.30,61.11,320x240,3v1
23544,7862,25,40.00,33,30.30,61.11,320x240,3v1
23569,8530,25,40.00,32,31.25,61.11,320x240,3v1
23606,8520,36,27.78,32,31.25,60.56,320x240,3v1
23630,7539,23,43.48,32,31.25,61.11,320x240,3v1
23657,7945,27,37.04,32,31.25,61.11,320x240,3v1
23728,8308,70,14.29,33,30.30,61.11,320x240,3v1
23750,7858,21,47.62,33,30.30,61.11,320x240,3v1
23783,9320,33,30.30,33,30.30,61.11,320x240,3v1
23819,9913,36,27.78,34,29.41,61.11,320x240,3v1
23844,7309,24,41.67,33,30.30,61.11,320x240,3v1
23871,8831,27,37.04,33,30.30,61.67,320x240,3v1
23904,8520,32,31.25,34,29.41,61.11,320x240,3v1
23963,9171,59,16.95,34,29.41,61.11,320x240,3v1
23990,8893,26,38.46,34,29.41,61.11,320x240,3v1
24046,9228,55,18.18,36,27.78,61.11,320x240,3v1
24097,8732,51,19.61,36,27.78,61.11,320x240,3v1
24123,7811,25,40.00,35,28.57,61.11,320x240,3v1
24155,9484,31,32.26,34,29.41,61.11,320x240,3v1
