Runtime,Bytes Transmitted,Instant Frame Time (ms),Instant FPS,Avg Frame Time (ms),Avg FPS,Temperature (C),Framesize,Voltage
100842,7065,17,58.82,17,58.82,61.67,320x240,3v3
100867,8145,24,41.67,20,50.00,61.67,320x240,3v3
100894,6683,27,37.04,22,45.45,61.67,320x240,3v3
100918,6967,24,41.67,23,43.48,61.67,320x240,3v3
100940,6967,21,47.62,22,45.45,61.67,320x240,3v3
100978,6967,38,26.32,25,40.00,61.67,320x240,3v3
101001,6967,22,45.45,24,41.67,62.22,320x240,3v3
101022,6967,21,47.62,24,41.67,61.67,320x240,3v3
101050,8145,28,35.71,24,41.67,62.22,320x240,3v3
101072,8145,22,45.45,24,41.67,61.67,320x240,3v3
101091,6779,18,55.56,23,43.48,61.67,320x240,3v3
101112,7119,21,47.62,23,43.48,61.67,320x240,3v3
101134,8145,21,47.62,23,43.48,61.67,320x240,3v3
101156,8145,21,47.62,23,43.48,61.67,320x240,3v3
101180,8145,24,41.67,23,43.48,62.22,320x240,3v3
101200,6911,20,50.00,23,43.48,61.67,320x240,3v3
101229,7026,28,35.71,23,43.48,61.67,320x240,3v3
101252,7026,22,45.45,23,43.48,62.22,320x240,3v3
101273,7026,21,47.62,23,43.48,62.22,320x240,3v3
101295,8145,21,47.62,23,43.48,62.22,320x240,3v3
101319,8145,24,41.67,23,43.48,61.67,320x240,3v3
101342,8145,23,43.48,23,43.48,61.67,320x240,3v3
101369,7062,26,38.46,23,43.48,61.67,320x240,3v3
101395,7062,26,38.46,23,43.48,62.22,320x240,3v3
101417,8145,21,47.62,23,43.48,61.67,320x240,3v3
101438,8145,20,50.00,22,45.45,61.67,320x240,3v3
101458,8145,20,50.00,22,45.45,62.22,320x240,3v3
101481,6836,22,45.45,22,45.45,62.22,320x240,3v3
101510,6836,29,34.48,22,45.45,62.22,320x240,3v3
101545,6836,35,28.57,23,43.48,61.67,320x240,3v3
101574,6836,29,34.48,23,43.48,62.22,320x240,3v3
101596,8145,21,47.62,23,43.48,61.67,320x240,3v3
101618,8145,22,45.45,23,43.48,62.22,320x240,3v3
101640,7102,21,47.62,23,43.48,62.22,320x240,3v3
101668,8145,27,37.04,23,43.48,62.22,320x240,3v3
101695,8145,27,37.04,24,41.67,61.67,320x240,3v3
101745,8145,50,20.00,25,40.00,62.22,320x240,3v3
101767,6356,21,47.62,25,40.00,61.67,320x240,3v3
101796,8145,28,35.71,25,40.00,61.67,320x240,3v3
101817,8418,21,47.62,25,40.00,62.22,320x240,3v3
