Runtime,Bytes Transmitted,Instant Frame Time (ms),Instant FPS,Avg Frame Time (ms),Avg FPS,Temperature (C),Framesize,Voltage
15069,7976,5193,0.19,286,3.50,57.22,320x240,3v0
15093,7976,23,43.48,286,3.50,57.22,320x240,3v0
15136,10154,43,23.26,287,3.48,57.78,320x240,3v0
15167,9584,30,33.33,287,3.48,57.22,320x240,3v0
15190,7072,23,43.48,287,3.48,57.78,320x240,3v0
15226,8300,35,28.57,287,3.48,57.22,320x240,3v0
15257,6891,31,32.26,287,3.48,57.22,320x240,3v0
15287,8249,29,34.48,287,3.48,57.78,320x240,3v0
15317,7743,29,34.48,287,3.48,57.78,320x240,3v0
15338,7743,21,47.62,286,3.50,57.22,320x240,3v0
15371,7743,32,31.25,287,3.48,57.78,320x240,3v0
15394,8646,23,43.48,286,3.50,57.22,320x240,3v0
15452,7998,57,17.54,288,3.47,57.22,320x240,3v0
16556,8461,1104,0.91,342,2.92,57.78,320x240,3v0
16581,7730,25,40.00,342,2.92,57.78,320x240,3v0
16616,7730,34,29.41,343,2.92,57.78,320x240,3v0
16640,8690,23,43.48,342,2.92,57.22,320x240,3v0
16665,8178,25,40.00,342,2.92,57.78,320x240,3v0
16688,8178,22,45.45,341,2.93,57.22,320x240,3v0
16710,6952,22,45.45,341,2.93,57.78,320x240,3v0
16734,8178,23,43.48,82,12.20,57.78,320x240,3v0
16769,8178,35,28.57,83,12.05,57.78,320x240,3v0
16793,8900,24,41.67,82,12.20,57.78,320x240,3v0
16817,7536,23,43.48,82,12.20,57.78,320x240,3v0
16845,7734,27,37.04,82,12.20,57.78,320x240,3v0
16873,7761,27,37.04,81,12.35,58.33,320x240,3v0
16901,8830,28,35.71,81,12.35,58.33,320x240,3v0
16926,9504,24,41.67,81,12.35,57.78,320x240,3v0
16957,7609,31,32.26,81,12.35,57.78,320x240,3v0
16980,7609,23,43.48,81,12.35,57.78,320x240,3v0
17009,7609,28,35.71,81,12.35,58.33,320x240,3v0
17036,8242,27,37.04,81,12.35,57.78,320x240,3v0
17061,7331,25,40.00,80,12.50,57.78,320x240,3v0
17090,7517,28,35.71,26,38.46,57.78,320x240,3v0
17114,7517,23,43.48,26,38.46,57.78,320x240,3v0
17137,6966,23,43.48,25,40.00,58.33,320x240,3v0
17182,7548,45,22.22,26,38.46,57.78,320x240,3v0
17211,7548,28,35.71,26,38.46,57.78,320x240,3v0
17235,7548,23,43.48,26,38.46,57.78,320x240,3v0
17267,8375,31,32.26,27,37.04,58.33,320x240,3v0
17289,7179,21,47.62,27,37.04,58.33,320x240,3v0
17317,7072,28,35.71,26,38.46,58.89,320x240,3v0
17343,8057,26,38.46,26,38.46,58.33,320x240,3v0
17373,8057,29,34.48,27,37.04,57.78,320x240,3v0
17402,8057,28,35.71,27,37.04,58.33,320x240,3v0
17437,8057,35,28.57,27,37.04,58.33,320x240,3v0
17473,8642,35,28.57,28,35.71,57.78,320x240,3v0
17498,6838,25,40.00,28,35.71,58.33,320x240,3v0
17530,8621,31,32.26,28,35.71,57.78,320x240,3v0
17556,8305,26,38.46,28,35.71,57.78,320x240,3v0
17587,7207,30,33.33,28,35.71,58.33,320x240,3v0
17646,8639,59,16.95,29,34.48,57.78,320x240,3v0
17704,7016,57,17.54,31,32.26,57.78,320x240,3v0
17747,7074,43,23.26,32,31.25,58.33,320x240,3v0
17786,7074,39,25.64,33,30.30,58.33,320x240,3v0
17818,7074,31,32.26,33,30.30,57.78,320x240,3v0
17842,7074,24,41.67,32,31.25,57.78,320x240,3v0
17877,7780,34,29.41,32,31.25,57.78,320x240,3v0
17904,7780,27,37.04,32,31.25,57.78,320x240,3v0
17938,8085,33,30.30,33,30.30,57.78,320x240,3v0
17961,8085,22,45.45,33,30.30,57.78,320x240,3v0
17999,8085,37,27.03,33,30.30,58.33,320x240,3v0
18028,8085,29,34.48,33,30.30,58.33,320x240,3v0
18059,8085,30,33.33,33,30.30,58.33,320x240,3v0
18087,6860,28,35.71,33,30.30,58.33,320x240,3v0
18110,8349,23,43.48,33,30.30,58.33,320x240,3v0
18139,7377,28,35.71,32,31.25,58.33,320x240,3v0
18167,7580,28,35.71,32,31.25,58.33,320x240,3v0
18190,7580,22,45.45,32,31.25,58.89,320x240,3v0
18215,8027,25,40.00,32,31.25,58.33,320x240,3v0
18243,8027,27,37.04,32,31.25,58.33,320x240,3v0
18268,8027,24,41.67,30,33.33,58.33,320x240,3v0
18295,8027,27,37.04,29,34.48,58.33,320x240,3v0
18323,8027,27,37.04,28,35.71,58.33,320x240,3v0
18349,8027,26,38.46,27,37.04,57.78,320x240,3v0
18389,8103,39,25.64,28,35.71,58.33,320x240,3v0
18419,9020,30,33.33,28,35.71,58.33,320x240,3v0
18459,7815,39,25.64,28,35.71,58.89,320x240,3v0
18492,8238,32,31.25,28,35.71,58.33,320x240,3v0
18518,7945,26,38.46,28,35.71,58.33,320x240,3v0
18547,7945,29,34.48,28,35.71,58.33,320x240,3v0
18572,8509,24,41.67,28,35.71,58.89,320x240,3v0
18601,8690,28,35.71,28,35.71,58.33,320x240,3v0
18629,7768,28,35.71,28,35.71,57.78,320x240,3v0
20045,8228,1415,0.71,97,10.31,57.78,320x240,3v0
20087,8531,42,23.81,98,10.20,57.78,320x240,3v0
20110,6989,22,45.45,98,10.20,57.78,320x240,3v0
20139,6989,29,34.48,98,10.20,57.78,320x240,3v0
20165,7511,26,38.46,98,10.20,58.33,320x240,3v0
20189,7723,23,43.48,98,10.20,57.78,320x240,3v0
20212,8182,22,45.45,97,10.31,57.78,320x240,3v0
20249,8608,37,27.03,98,10.20,57.78,320x240,3v0
20273,9120,24,41.67,98,10.20,58.33,320x240,3v0
20300,8157,26,38.46,98,10.20,58.33,320x240,3v0
20328,8157,28,35.71,98,10.20,58.33,320x240,3v0
20354,8157,25,40.00,97,10.31,58.33,320x240,3v0
20377,8414,22,45.45,97,10.31,58.33,320x240,3v0
20405,7732,28,35.71,96,10.42,58.33,320x240,3v0
20438,7732,32,31.25,96,10.42,58.33,320x240,3v0
20463,7987,25,40.00,96,10.42,57.78,320x240,3v0
20495,7987,31,32.26,96,10.42,58.33,320x240,3v0
20519,8030,23,43.48,96,10.42,58.33,320x240,3v0
20544,8216,25,40.00,96,10.42,58.33,320x240,3v0
20571,7476,26,38.46,96,10.42,58.33,320x240,3v0
20595,7524,24,41.67,27,37.04,58.33,320x240,3v0
20621,8040,25,40.00,26,38.46,58.33,320x240,3v0
20649,8040,27,37.04,26,38.46,58.33,320x240,3v0
20674,8040,25,40.00,26,38.46,58.33,320x240,3v0
20699,8040,25,40.00,26,38.46,58.33,320x240,3v0
20722,8040,22,45.45,26,38.46,58.33,320x240,3v0
20751,8372,29,34.48,26,38.46,58.33,320x240,3v0
20798,7380,46,21.74,26,38.46,58.33,320x240,3v0
20829,6453,30,33.33,27,37.04,58.33,320x240,3v0
20858,7084,28,35.71,27,37.04,58.33,320x240,3v0
20887,7101,29,34.48,27,37.04,58.33,320x240,3v0
20908,7548,21,47.62,27,37.04,58.89,320x240,3v0
20939,8612,30,33.33,27,37.04,58.33,320x240,3v0
20963,7310,24,41.67,27,37.04,58.89,320x240,3v0
20991,9536,27,37.04,27,37.04,58.33,320x240,3v0
21015,7356,24,41.67,27,37.04,58.33,320x240,3v0
21046,7679,31,32.26,27,37.04,58.33,320x240,3v0
21070,7859,23,43.48,27,37.04,58.33,320x240,3v0
