[ 17373][I][app_httpd.cpp:291] stream_handler(): MJPG: 8057B 29ms (34.48fps), AVG: 27ms (37.04fps), Temperature: 57.78
[ 17402][I][app_httpd.cpp:291] stream_handler(): MJPG: 8057B 28ms (35.71fps), AVG: 27ms (37.04fps), Temperature: 58.33
[ 17437][I][app_httpd.cpp:291] stream_handler(): MJPG: 8057B 35ms (28.57fps), AVG: 27ms (37.04fps), Temperature: 58.33
[ 17473][I][app_httpd.cpp:291] stream_handler(): MJPG: 8642B 35ms (28.57fps), AVG: 28ms (35.71fps), Temperature: 57.78
[ 17498][I][app_httpd.cpp:291] stream_handler(): MJPG: 6838B 25ms (40.00fps), AVG: 28ms (35.71fps), Temperature: 58.33
[ 17530][I][app_httpd.cpp:291] stream_handler(): MJPG: 8621B 31ms (32.26fps), AVG: 28ms (35.71fps), Temperature: 57.78
[ 17556][I][app_httpd.cpp:291] stream_handler(): MJPG: 8305B 26ms (38.46fps), AVG: 28ms (35.71fps), Temperature: 57.78
[ 17587][I][app_httpd.cpp:291] stream_handler(): MJPG: 7207B 30ms (33.33fps), AVG: 28ms (35.71fps), Temperature: 58.33
[ 17646][I][app_httpd.cpp:291] stream_handler(): MJPG: 8639B 59ms (16.95fps), AVG: 29ms (34.48fps), Temperature: 57.78
[ 17704][I][app_httpd.cpp:291] stream_handler(): MJPG: 7016B 57ms (17.54fps), AVG: 31ms (32.26fps), Temperature: 57.78
[ 17747][I][app_httpd.cpp:291] stream_handler(): MJPG: 7074B 43ms (23.26fps), AVG: 32ms (31.25fps), Temperature: 58.33
[ 17786][I][app_httpd.cpp:291] stream_handler(): MJPG: 7074B 39ms (25.64fps), AVG: 33ms (30.30fps), Temperature: 58.33
[ 17818][I][app_httpd.cpp:291] stream_handler(): MJPG: 7074B 31ms (32.26fps), AVG: 33ms (30.30fps), Temperature: 57.78
[ 17842][I][app_httpd.cpp:291] stream_handler(): MJPG: 7074B 24ms (41.67fps), AVG: 32ms (31.25fps), Temperature: 57.78
[ 17877][I][app_httpd.cpp:291] stream_handler(): MJPG: 7780B 34ms (29.41fps), AVG: 32ms (31.25fps), Temperature: 57.78
[ 17904][I][app_httpd.cpp:291] stream_handler(): MJPG: 7780B 27ms (37.04fps), AVG: 32ms (31.25fps), Temperature: 57.78
[ 17938][I][app_httpd.cpp:291] stream_handler(): MJPG: 8085B 33ms (30.30fps), AVG: 33ms (30.30fps), Temperature: 57.78
[ 17961][I][app_httpd.cpp:291] stream_handler(): MJPG: 8085B 22ms (45.45fps), AVG: 33ms (30.30fps), Temperature: 57.78
[ 17999][I][app_httpd.cpp:291] stream_handler(): MJPG: 8085B 37ms (27.03fps), AVG: 33ms (30.30fps), Temperature: 58.33
[ 18028][I][app_httpd.cpp:291] stream_handler(): MJPG: 8085B 29ms (34.48fps), AVG: 33ms (30.30fps), Temperature: 58.33
[ 18059][I][app_httpd.cpp:291] stream_handler(): MJPG: 8085B 30ms (33.33fps), AVG: 33ms (30.30fps), Temperature: 58.33
[ 18087][I][app_httpd.cpp:291] stream_handler(): MJPG: 6860B 28ms (35.71fps), AVG: 33ms (30.30fps), Temperature: 58.33
[ 18110][I][app_httpd.cpp:291] stream_handler(): MJPG: 8349B 23ms (43.48fps), AVG: 33ms (30.30fps), Temperature: 58.33
[ 18139][I][app_httpd.cpp:291] stream_handler(): MJPG: 7377B 28ms (35.71fps), AVG: 32ms (31.25fps), Temperature: 58.33
[ 18167][I][app_httpd.cpp:291] stream_handler(): MJPG: 7580B 28ms (35.71fps), AVG: 32ms (31.25fps), Temperature: 58.33
[ 18190][I][app_httpd.cpp:291] stream_handler(): MJPG: 7580B 22ms (45.45fps), AVG: 32ms (31.25fps), Temperature: 58.89
[ 18215][I][app_httpd.cpp:291] stream_handler(): MJPG: 8027B 25ms (40.00fps), AVG: 32ms (31.25fps), Temperature: 58.33
[ 18243][I][app_httpd.cpp:291] stream_handler(): MJPG: 8027B 27ms (37.04fps), AVG: 32ms (31.25fps), Temperature: 58.33
[ 18268][I][app_httpd.cpp:291] stream_handler(): MJPG: 8027B 24ms (41.67fps), AVG: 30ms (33.33fps), Temperature: 58.33
[ 18295][I][app_httpd.cpp:291] stream_handler(): MJPG: 8027B 27ms (37.04fps), AVG: 29ms (34.48fps), Temperature: 58.33
[ 18323][I][app_httpd.cpp:291] stream_handler(): MJPG: 8027B 27ms (37.04fps), AVG: 28ms (35.71fps), Temperature: 58.33
[ 18349][I][app_httpd.cpp:291] stream_handler(): MJPG: 8027B 26ms (38.46fps), AVG: 27ms (37.04fps), Temperature: 57.78
[ 18389][I][app_httpd.cpp:291] stream_handler(): MJPG: 8103B 39ms (25.64fps), AVG: 28ms (35.71fps), Temperature: 58.33
[ 18419][I][app_httpd.cpp:291] stream_handler(): MJPG: 9020B 30ms (33.33fps), AVG: 28ms (35.71fps), Temperature: 58.33
[ 18459][I][app_httpd.cpp:291] stream_handler(): MJPG: 7815B 39ms (25.64fps), AVG: 28ms (35.71fps), Temperature: 58.89
[ 18492][I][app_httpd.cpp:291] stream_handler(): MJPG: 8238B 32ms (31.25fps), AVG: 28ms (35.71fps), Temperature: 58.33
[ 18518][I][app_httpd.cpp:291] stream_handler(): MJPG: 7945B 26ms (38.46fps), AVG: 28ms (35.71fps), Temperature: 58.33
[ 18547][I][app_httpd.cpp:291] stream_handler(): MJPG: 7945B 29ms (34.48fps), AVG: 28ms (35.71fps), Temperature: 58.33
[ 18572][I][app_httpd.cpp:291] stream_handler(): MJPG: 8509B 24ms (41.67fps), AVG: 28ms (35.71fps), Temperature: 58.89
[ 18601][I][app_httpd.cpp:291] stream_handler(): MJPG: 8690B 28ms (35.71fps), AVG: 28ms (35.71fps), Temperature: 58.33
