[ 13102][I][app_httpd.cpp:104] enable_led(): Set LED intensity to 0
[ 13119][I][app_httpd.cpp:291] stream_handler(): MJPG: 7280B 16ms (62.50fps), AVG: 16ms (62.50fps), Temperature: 60.56
[ 13150][I][app_httpd.cpp:291] stream_handler(): MJPG: 7635B 31ms (32.26fps), AVG: 23ms (43.48fps), Temperature: 61.11
[ 13173][I][app_httpd.cpp:291] stream_handler(): MJPG: 8675B 22ms (45.45fps), AVG: 23ms (43.48fps), Temperature: 61.11
[ 13206][I][app_httpd.cpp:291] stream_handler(): MJPG: 7694B 33ms (30.30fps), AVG: 25ms (40.00fps), Temperature: 61.11
[ 13235][I][app_httpd.cpp:291] stream_handler(): MJPG: 7083B 29ms (34.48fps), AVG: 26ms (38.46fps), Temperature: 61.11
[ 13257][I][app_httpd.cpp:291] stream_handler(): MJPG: 7694B 21ms (47.62fps), AVG: 25ms (40.00fps), Temperature: 61.11
[ 13285][I][app_httpd.cpp:291] stream_handler(): MJPG: 6930B 27ms (37.04fps), AVG: 25ms (40.00fps), Temperature: 61.11
[ 13309][I][app_httpd.cpp:291] stream_handler(): MJPG: 7694B 24ms (41.67fps), AVG: 25ms (40.00fps), Temperature: 60.56
[ 13332][I][app_httpd.cpp:291] stream_handler(): MJPG: 7851B 22ms (45.45fps), AVG: 25ms (40.00fps), Temperature: 61.11
[ 13359][I][app_httpd.cpp:291] stream_handler(): MJPG: 8392B 27ms (37.04fps), AVG: 25ms (40.00fps), Temperature: 61.11
[ 13387][I][app_httpd.cpp:291] stream_handler(): MJPG: 7400B 27ms (37.04fps), AVG: 25ms (40.00fps), Temperature: 61.11
[ 13418][I][app_httpd.cpp:291] stream_handler(): MJPG: 7400B 31ms (32.26fps), AVG: 25ms (40.00fps), Temperature: 61.11
[ 13461][I][app_httpd.cpp:291] stream_handler(): MJPG: 7674B 43ms (23.26fps), AVG: 27ms (37.04fps), Temperature: 60.56
[ 13489][I][app_httpd.cpp:291] stream_handler(): MJPG: 6362B 27ms (37.04fps), AVG: 27ms (37.04fps), Temperature: 61.11
[ 13512][I][app_httpd.cpp:291] stream_handler(): MJPG: 7965B 22ms (45.45fps), AVG: 26ms (38.46fps), Temperature: 61.67
[ 13535][I][app_httpd.cpp:291] stream_handler(): MJPG: 7965B 23ms (43.48fps), AVG: 26ms (38.46fps), Temperature: 61.67
[ 13561][I][app_httpd.cpp:291] stream_handler(): MJPG: 7965B 26ms (38.46fps), AVG: 26ms (38.46fps), Temperature: 61.11
[ 13585][I][app_httpd.cpp:291] stream_handler(): MJPG: 8225B 23ms (43.48fps), AVG: 26ms (38.46fps), Temperature: 61.11
[ 13612][I][app_httpd.cpp:291] stream_handler(): MJPG: 7535B 27ms (37.04fps), AVG: 26ms (38.46fps), Temperature: 61.11
[ 13636][I][app_httpd.cpp:291] stream_handler(): MJPG: 7535B 24ms (41.67fps), AVG: 26ms (38.46fps), Temperature: 61.11
[ 13666][I][app_httpd.cpp:291] stream_handler(): MJPG: 6954B 29ms (34.48fps), AVG: 26ms (38.46fps), Temperature: 61.11
[ 13688][I][app_httpd.cpp:291] stream_handler(): MJPG: 6954B 22ms (45.45fps), AVG: 26ms (38.46fps), Temperature: 61.11
[ 13713][I][app_httpd.cpp:291] stream_handler(): MJPG: 8114B 24ms (41.67fps), AVG: 26ms (38.46fps), Temperature: 61.11
[ 13735][I][app_httpd.cpp:291] stream_handler(): MJPG: 8114B 22ms (45.45fps), AVG: 26ms (38.46fps), Temperature: 61.11
