[101957][I][app_httpd.cpp:291] stream_handler(): MJPG: 7722B 21ms (47.62fps), AVG: 25ms (40.00fps), Temperature: 61.67
[101979][I][app_httpd.cpp:291] stream_handler(): MJPG: 7017B 21ms (47.62fps), AVG: 25ms (40.00fps), Temperature: 62.22
[102004][I][app_httpd.cpp:291] stream_handler(): MJPG: 7722B 25ms (40.00fps), AVG: 25ms (40.00fps), Temperature: 61.67
[102027][I][app_httpd.cpp:291] stream_handler(): MJPG: 7722B 22ms (45.45fps), AVG: 25ms (40.00fps), Temperature: 62.22
[102049][I][app_httpd.cpp:291] stream_handler(): MJPG: 7722B 21ms (47.62fps), AVG: 24ms (41.67fps), Temperature: 62.22
[102073][I][app_httpd.cpp:291] stream_handler(): MJPG: 7767B 23ms (43.48fps), AVG: 24ms (41.67fps), Temperature: 62.22
[102095][I][app_httpd.cpp:291] stream_handler(): MJPG: 7767B 22ms (45.45fps), AVG: 24ms (41.67fps), Temperature: 62.22
[102119][I][app_httpd.cpp:291] stream_handler(): MJPG: 7767B 23ms (43.48fps), AVG: 24ms (41.67fps), Temperature: 62.22
[102143][I][app_httpd.cpp:291] stream_handler(): MJPG: 6658B 24ms (41.67fps), AVG: 24ms (41.67fps), Temperature: 62.22
[102183][I][app_httpd.cpp:291] stream_handler(): MJPG: 6658B 40ms (25.00fps), AVG: 25ms (40.00fps), Temperature: 62.22
[102208][I][app_httpd.cpp:291] stream_handler(): MJPG: 6709B 25ms (40.00fps), AVG: 25ms (40.00fps), Temperature: 62.22
[102230][I][app_httpd.cpp:291] stream_handler(): MJPG: 6709B 21ms (47.62fps), AVG: 23ms (43.48fps), Temperature: 62.22
[102254][I][app_httpd.cpp:291] stream_handler(): MJPG: 7050B 23ms (43.48fps), AVG: 23ms (43.48fps), Temperature: 62.22
[102279][I][app_httpd.cpp:291] stream_handler(): MJPG: 8149B 25ms (40.00fps), AVG: 23ms (43.48fps), Temperature: 61.67
[102303][I][app_httpd.cpp:291] stream_handler(): MJPG: 7064B 24ms (41.67fps), AVG: 23ms (43.48fps), Temperature: 62.22
[102332][I][app_httpd.cpp:291] stream_handler(): MJPG: 7064B 28ms (35.71fps), AVG: 24ms (41.67fps), Temperature: 62.22
[102352][I][app_httpd.cpp:291] stream_handler(): MJPG: 7064B 20ms (50.00fps), AVG: 24ms (41.67fps), Temperature: 62.22
[102379][I][app_httpd.cpp:291] stream_handler(): MJPG: 7064B 26ms (38.46fps), AVG: 24ms (41.67fps), Temperature: 61.67
[102402][I][app_httpd.cpp:291] stream_handler(): MJPG: 7064B 23ms (43.48fps), AVG: 24ms (41.67fps), Temperature: 62.22
[102427][I][app_httpd.cpp:291] stream_handler(): MJPG: 7064B 25ms (40.00fps), AVG: 24ms (41.67fps), Temperature: 62.22
[102452][I][app_httpd.cpp:291] stream_handler(): MJPG: 7111B 24ms (41.67fps), AVG: 24ms (41.67fps), Temperature: 62.22
