[ 11608][I][app_httpd.cpp:291] stream_handler(): MJPG: 7113B 29ms (34.48fps), AVG: 29ms (34.48fps), Temperature: 56.11
[ 11643][I][app_httpd.cpp:291] stream_handler(): MJPG: 8142B 35ms (28.57fps), AVG: 28ms (35.71fps), Temperature: 56.11
[ 11680][I][app_httpd.cpp:291] stream_handler(): MJPG: 8142B 36ms (27.78fps), AVG: 29ms (34.48fps), Temperature: 55.56
[ 11722][I][app_httpd.cpp:291] stream_handler(): MJPG: 6601B 42ms (23.81fps), AVG: 28ms (35.71fps), Temperature: 55.56
[ 11771][I][app_httpd.cpp:291] stream_handler(): MJPG: 8142B 48ms (20.83fps), AVG: 29ms (34.48fps), Temperature: 55.56
[ 11796][I][app_httpd.cpp:291] stream_handler(): MJPG: 6427B 25ms (40.00fps), AVG: 29ms (34.48fps), Temperature: 56.11
[ 11842][I][app_httpd.cpp:291] stream_handler(): MJPG: 8142B 45ms (22.22fps), AVG: 30ms (33.33fps), Temperature: 55.56
[ 11895][I][app_httpd.cpp:291] stream_handler(): MJPG: 6434B 52ms (19.23fps), AVG: 32ms (31.25fps), Temperature: 55.56
[ 11944][I][app_httpd.cpp:291] stream_handler(): MJPG: 6702B 49ms (20.41fps), AVG: 33ms (30.30fps), Temperature: 56.11
[ 11991][I][app_httpd.cpp:291] stream_handler(): MJPG: 7062B 46ms (21.74fps), AVG: 34ms (29.41fps), Temperature: 55.56
[ 12028][I][app_httpd.cpp:291] stream_handler(): MJPG: 7062B 36ms (27.78fps), AVG: 35ms (28.57fps), Temperature: 56.11
[ 12077][I][app_httpd.cpp:291] stream_handler(): MJPG: 8142B 49ms (20.41fps), AVG: 35ms (28.57fps), Temperature: 56.11
[ 12112][I][app_httpd.cpp:291] stream_handler(): MJPG: 6721B 34ms (29.41fps), AVG: 36ms (27.78fps), Temperature: 56.11
[ 12136][I][app_httpd.cpp:291] stream_handler(): MJPG: 8540B 24ms (41.67fps), AVG: 36ms (27.78fps), Temperature: 55.56
[ 12190][I][app_httpd.cpp:291] stream_handler(): MJPG: 7889B 53ms (18.87fps), AVG: 36ms (27.78fps), Temperature: 55.56
[ 12252][I][app_httpd.cpp:291] stream_handler(): MJPG: 6370B 61ms (16.39fps), AVG: 38ms (26.32fps), Temperature: 55.56
[ 12318][I][app_httpd.cpp:291] stream_handler(): MJPG: 6963B 66ms (15.15fps), AVG: 40ms (25.00fps), Temperature: 55.56
[ 12411][I][app_httpd.cpp:291] stream_handler(): MJPG: 6963B 92ms (10.87fps), AVG: 43ms (23.26fps), Temperature: 55.56
[ 12566][I][app_httpd.cpp:291] stream_handler(): MJPG: 6963B 154ms (6.49fps), AVG: 49ms (20.41fps), Temperature: 56.11
[ 12637][I][app_httpd.cpp:291] stream_handler(): MJPG: 6963B 70ms (14.29fps), AVG: 52ms (19.23fps), Temperature: 55.56
[ 12707][I][app_httpd.cpp:291] stream_handler(): MJPG: 6963B 70ms (14.29fps), AVG: 54ms (18.52fps), Temperature: 55.56
[ 12893][I][app_httpd.cpp:291] stream_handler(): MJPG: 6963B 185ms (5.41fps), AVG: 61ms (16.39fps), Temperature: 56.11
[ 12947][I][app_httpd.cpp:291] stream_handler(): MJPG: 6963B 54ms (18.52fps), AVG: 62ms (16.13fps), Temperature: 55.56
[ 13033][I][app_httpd.cpp:291] stream_handler(): MJPG: 6963B 85ms (11.76fps), AVG: 64ms (15.62fps), Temperature: 55.56
[ 13136][I][app_httpd.cpp:291] stream_handler(): MJPG: 6963B 102ms (9.80fps), AVG: 67ms (14.93fps), Temperature: 56.11
[ 13158][I][app_httpd.cpp:291] stream_handler(): MJPG: 7889B 22ms (45.45fps), AVG: 67ms (14.93fps), Temperature: 56.11
[ 13208][I][app_httpd.cpp:291] stream_handler(): MJPG: 7889B 49ms (20.41fps), AVG: 67ms (14.93fps), Temperature: 56.11
[ 13290][I][app_httpd.cpp:291] stream_handler(): MJPG: 7889B 81ms (12.35fps), AVG: 69ms (14.49fps), Temperature: 56.11
[ 13317][I][app_httpd.cpp:291] stream_handler(): MJPG: 6399B 26ms (38.46fps), AVG: 67ms (14.93fps), Temperature: 55.56
[ 13345][I][app_httpd.cpp:291] stream_handler(): MJPG: 8331B 28ms (35.71fps), AVG: 67ms (14.93fps), Temperature: 56.11
[ 13439][I][app_httpd.cpp:291] stream_handler(): MJPG: 7534B 93ms (10.75fps), AVG: 69ms (14.49fps), Temperature: 56.11
[ 13538][I][app_httpd.cpp:291] stream_handler(): MJPG: 7072B 98ms (10.20fps), AVG: 72ms (13.89fps), Temperature: 55.56
[ 13580][I][app_httpd.cpp:291] stream_handler(): MJPG: 7072B 41ms (24.39fps), AVG: 72ms (13.89fps), Temperature: 55.56
[ 13602][I][app_httpd.cpp:291] stream_handler(): MJPG: 7072B 22ms (45.45fps), AVG: 72ms (13.89fps), Temperature: 56.67
[ 13624][I][app_httpd.cpp:291] stream_handler(): MJPG: 7940B 22ms (45.45fps), AVG: 71ms (14.08fps), Temperature: 56.11
[ 13649][I][app_httpd.cpp:291] stream_handler(): MJPG: 7940B 25ms (40.00fps), AVG: 69ms (14.49fps), Temperature: 56.11
[ 13674][I][app_httpd.cpp:291] stream_handler(): MJPG: 7940B 24ms (41.67fps), AVG: 67ms (14.93fps), Temperature: 55.56
[ 13698][I][app_httpd.cpp:291] stream_handler(): MJPG: 7007B 24ms (41.67fps), AVG: 63ms (15.87fps), Temperature: 56.11
[ 13728][I][app_httpd.cpp:291] stream_handler(): MJPG: 7940B 30ms (33.33fps), AVG: 57ms (17.54fps), Temperature: 56.67
[ 13756][I][app_httpd.cpp:291] stream_handler(): MJPG: 7940B 28ms (35.71fps), AVG: 55ms (18.18fps), Temperature: 56.11
[ 13788][I][app_httpd.cpp:291] stream_handler(): MJPG: 7940B 32ms (31.25fps), AVG: 53ms (18.87fps), Temperature: 56.11
[ 13811][I][app_httpd.cpp:291] stream_handler(): MJPG: 6890B 22ms (45.45fps), AVG: 45ms (22.22fps), Temperature: 56.11
[ 13838][I][app_httpd.cpp:291] stream_handler(): MJPG: 7940B 27ms (37.04fps), AVG: 44ms (22.73fps), Temperature: 56.11
[ 13862][I][app_httpd.cpp:291] stream_handler(): MJPG: 7940B 24ms (41.67fps), AVG: 41ms (24.39fps), Temperature: 56.11
[ 13890][I][app_httpd.cpp:291] stream_handler(): MJPG: 7940B 27ms (37.04fps), AVG: 37ms (27.03fps), Temperature: 56.11
[ 13919][I][app_httpd.cpp:291] stream_handler(): MJPG: 7940B 28ms (35.71fps), AVG: 37ms (27.03fps), Temperature: 56.67
[ 13942][I][app_httpd.cpp:291] stream_handler(): MJPG: 8039B 23ms (43.48fps), AVG: 36ms (27.78fps), Temperature: 56.11
[ 13964][I][app_httpd.cpp:291] stream_handler(): MJPG: 6830B 21ms (47.62fps), AVG: 33ms (30.30fps), Temperature: 56.11
[ 13995][I][app_httpd.cpp:291] stream_handler(): MJPG: 8039B 31ms (32.26fps), AVG: 33ms (30.30fps), Temperature: 56.11
[ 14025][I][app_httpd.cpp:291] stream_handler(): MJPG: 8039B 29ms (34.48fps), AVG: 33ms (30.30fps), Temperature: 56.11
[ 14048][I][app_httpd.cpp:291] stream_handler(): MJPG: 8039B 22ms (45.45fps), AVG: 30ms (33.33fps), Temperature: 56.11
[ 14070][I][app_httpd.cpp:291] stream_handler(): MJPG: 8039B 22ms (45.45fps), AVG: 26ms (38.46fps), Temperature: 56.67
[ 14101][I][app_httpd.cpp:291] stream_handler(): MJPG: 8168B 30ms (33.33fps), AVG: 25ms (40.00fps), Temperature: 56.11
[ 14126][I][app_httpd.cpp:291] stream_handler(): MJPG: 6990B 25ms (40.00fps), AVG: 25ms (40.00fps), Temperature: 56.11
[ 14149][I][app_httpd.cpp:291] stream_handler(): MJPG: 7018B 22ms (45.45fps), AVG: 25ms (40.00fps), Temperature: 56.11
[ 14171][I][app_httpd.cpp:291] stream_handler(): MJPG: 8168B 22ms (45.45fps), AVG: 25ms (40.00fps), Temperature: 56.11
[ 14199][I][app_httpd.cpp:291] stream_handler(): MJPG: 8168B 27ms (37.04fps), AVG: 25ms (40.00fps), Temperature: 56.11
[ 14221][I][app_httpd.cpp:291] stream_handler(): MJPG: 8168B 22ms (45.45fps), AVG: 25ms (40.00fps), Temperature: 56.11
[ 14245][I][app_httpd.cpp:291] stream_handler(): MJPG: 8168B 23ms (43.48fps), AVG: 25ms (40.00fps), Temperature: 56.11
[ 14271][I][app_httpd.cpp:291] stream_handler(): MJPG: 8168B 26ms (38.46fps), AVG: 25ms (40.00fps), Temperature: 56.67
[ 14301][I][app_httpd.cpp:291] stream_handler(): MJPG: 8691B 30ms (33.33fps), AVG: 25ms (40.00fps), Temperature: 56.11
[ 14323][I][app_httpd.cpp:291] stream_handler(): MJPG: 7213B 22ms (45.45fps), AVG: 25ms (40.00fps), Temperature: 56.11
[ 14346][I][app_httpd.cpp:291] stream_handler(): MJPG: 7483B 22ms (45.45fps), AVG: 24ms (41.67fps), Temperature: 56.67
[ 14373][I][app_httpd.cpp:291] stream_handler(): MJPG: 7051B 27ms (37.04fps), AVG: 25ms (40.00fps), Temperature: 56.11
[ 14396][I][app_httpd.cpp:291] stream_handler(): MJPG: 7483B 22ms (45.45fps), AVG: 24ms (41.67fps), Temperature: 56.11
[ 14423][I][app_httpd.cpp:291] stream_handler(): MJPG: 6895B 27ms (37.04fps), AVG: 24ms (41.67fps), Temperature: 56.11
[ 14445][I][app_httpd.cpp:291] stream_handler(): MJPG: 7483B 21ms (47.62fps), AVG: 24ms (41.67fps), Temperature: 56.67
[ 14471][I][app_httpd.cpp:291] stream_handler(): MJPG: 7483B 26ms (38.46fps), AVG: 24ms (41.67fps), Temperature: 56.67
[ 14494][I][app_httpd.cpp:291] stream_handler(): MJPG: 7483B 23ms (43.48fps), AVG: 24ms (41.67fps), Temperature: 56.67
[ 14518][I][app_httpd.cpp:291] stream_handler(): MJPG: 8019B 24ms (41.67fps), AVG: 24ms (41.67fps), Temperature: 56.11
[ 14556][I][app_httpd.cpp:291] stream_handler(): MJPG: 8019B 37ms (27.03fps), AVG: 25ms (40.00fps), Temperature: 56.11
[ 14577][I][app_httpd.cpp:291] stream_handler(): MJPG: 6636B 21ms (47.62fps), AVG: 24ms (41.67fps), Temperature: 56.11
[ 14607][I][app_httpd.cpp:291] stream_handler(): MJPG: 6633B 30ms (33.33fps), AVG: 24ms (41.67fps), Temperature: 56.11
[ 14630][I][app_httpd.cpp:291] stream_handler(): MJPG: 6892B 22ms (45.45fps), AVG: 24ms (41.67fps), Temperature: 56.11
[ 14655][I][app_httpd.cpp:291] stream_handler(): MJPG: 8291B 24ms (41.67fps), AVG: 24ms (41.67fps), Temperature: 56.11
[ 14679][I][app_httpd.cpp:291] stream_handler(): MJPG: 6937B 24ms (41.67fps), AVG: 25ms (40.00fps), Temperature: 56.67
[ 14709][I][app_httpd.cpp:291] stream_handler(): MJPG: 7131B 29ms (34.48fps), AVG: 25ms (40.00fps), Temperature: 56.67
[ 14731][I][app_httpd.cpp:291] stream_handler(): MJPG: 7131B 21ms (47.62fps), AVG: 25ms (40.00fps), Temperature: 56.67
[ 14755][I][app_httpd.cpp:291] stream_handler(): MJPG: 7340B 24ms (41.67fps), AVG: 25ms (40.00fps), Temperature: 56.67
[ 14781][I][app_httpd.cpp:291] stream_handler(): MJPG: 7981B 25ms (40.00fps), AVG: 25ms (40.00fps), Temperature: 56.67
[ 14803][I][app_httpd.cpp:291] stream_handler(): MJPG: 7981B 22ms (45.45fps), AVG: 24ms (41.67fps), Temperature: 56.67
[ 14832][I][app_httpd.cpp:291] stream_handler(): MJPG: 8044B 28ms (35.71fps), AVG: 24ms (41.67fps), Temperature: 56.67
[ 14854][I][app_httpd.cpp:291] stream_handler(): MJPG: 8490B 22ms (45.45fps), AVG: 24ms (41.67fps), Temperature: 56.11
[ 14878][I][app_httpd.cpp:291] stream_handler(): MJPG: 7325B 24ms (41.67fps), AVG: 24ms (41.67fps), Temperature: 56.67
[ 14916][I][app_httpd.cpp:291] stream_handler(): MJPG: 7482B 37ms (27.03fps), AVG: 25ms (40.00fps), Temperature: 56.67
[ 14938][I][app_httpd.cpp:291] stream_handler(): MJPG: 6898B 21ms (47.62fps), AVG: 25ms (40.00fps), Temperature: 56.11
[ 14963][I][app_httpd.cpp:291] stream_handler(): MJPG: 7482B 25ms (40.00fps), AVG: 25ms (40.00fps), Temperature: 56.67
[ 14986][I][app_httpd.cpp:291] stream_handler(): MJPG: 7969B 22ms (45.45fps), AVG: 25ms (40.00fps), Temperature: 56.67
