1738380147936,[182771][I][app_httpd.cpp:291] stream_handler(): MJPG: 8896B 71ms (14.08fps), AVG: 45ms (22.22fps), Temperature: 65.56
1738380147966,[182800][I][app_httpd.cpp:291] stream_handler(): MJPG: 8839B 29ms (34.48fps), AVG: 44ms (22.73fps), Temperature: 66.11
1738380148004,[182839][I][app_httpd.cpp:291] stream_handler(): MJPG: 9033B 38ms (26.32fps), AVG: 43ms (23.26fps), Temperature: 66.11
1738380148053,[182888][I][app_httpd.cpp:291] stream_handler(): MJPG: 8876B 48ms (20.83fps), AVG: 42ms (23.81fps), Temperature: 65.56
1738380148100,[182935][I][app_httpd.cpp:291] stream_handler(): MJPG: 8909B 46ms (21.74fps), AVG: 42ms (23.81fps), Temperature: 65.56
1738380148130,[182965][I][app_httpd.cpp:291] stream_handler(): MJPG: 8885B 30ms (33.33fps), AVG: 41ms (24.39fps), Temperature: 65.56
1738380148171,[183006][I][app_httpd.cpp:291] stream_handler(): MJPG: 8884B 40ms (25.00fps), AVG: 41ms (24.39fps), Temperature: 65.56
1738380148228,[183063][I][app_httpd.cpp:291] stream_handler(): MJPG: 9177B 56ms (17.86fps), AVG: 42ms (23.81fps), Temperature: 65.56
1738380148258,[183093][I][app_httpd.cpp:291] stream_handler(): MJPG: 9000B 29ms (34.48fps), AVG: 41ms (24.39fps), Temperature: 65.56
1738380148332,[183167][I][app_httpd.cpp:291] stream_handler(): MJPG: 8904B 74ms (13.51fps), AVG: 43ms (23.26fps), Temperature: 65.56
1738380148376,[183211][I][app_httpd.cpp:291] stream_handler(): MJPG: 8999B 43ms (23.26fps), AVG: 44ms (22.73fps), Temperature: 65.56
1738380148404,[183239][I][app_httpd.cpp:291] stream_handler(): MJPG: 9452B 28ms (35.71fps), AVG: 43ms (23.26fps), Temperature: 65.56
1738380148464,[183299][I][app_httpd.cpp:291] stream_handler(): MJPG: 9160B 59ms (16.95fps), AVG: 44ms (22.73fps), Temperature: 66.11
1738380148508,[183343][I][app_httpd.cpp:291] stream_handler(): MJPG: 9031B 43ms (23.26fps), AVG: 44ms (22.73fps), Temperature: 66.11
1738380148536,[183371][I][app_httpd.cpp:291] stream_handler(): MJPG: 9351B 27ms (37.04fps), AVG: 43ms (23.26fps), Temperature: 65.56
1738380148604,[183439][I][app_httpd.cpp:291] stream_handler(): MJPG: 8832B 68ms (14.71fps), AVG: 45ms (22.22fps), Temperature: 65.00
1738380148654,[183489][I][app_httpd.cpp:291] stream_handler(): MJPG: 8912B 49ms (20.41fps), AVG: 45ms (22.22fps), Temperature: 65.56
1738380148700,[183535][I][app_httpd.cpp:291] stream_handler(): MJPG: 9182B 46ms (21.74fps), AVG: 45ms (22.22fps), Temperature: 65.56
1738380148731,[183566][I][app_httpd.cpp:291] stream_handler(): MJPG: 8599B 30ms (33.33fps), AVG: 44ms (22.73fps), Temperature: 66.11
1738380148773,[183608][I][app_httpd.cpp:291] stream_handler(): MJPG: 8941B 42ms (23.81fps), AVG: 44ms (22.73fps), Temperature: 66.11
1738380148805,[183639][I][app_httpd.cpp:291] stream_handler(): MJPG: 8938B 31ms (32.26fps), AVG: 42ms (23.81fps), Temperature: 65.56
1738380148849,[183683][I][app_httpd.cpp:291] stream_handler(): MJPG: 8764B 43ms (23.26fps), AVG: 43ms (23.26fps), Temperature: 65.56
1738380148892,[183727][I][app_httpd.cpp:291] stream_handler(): MJPG: 8646B 43ms (23.26fps), AVG: 43ms (23.26fps), Temperature: 66.11
1738380148928,[183763][I][app_httpd.cpp:291] stream_handler(): MJPG: 9220B 36ms (27.78fps), AVG: 43ms (23.26fps), Temperature: 65.56
1738380148975,[183810][I][app_httpd.cpp:291] stream_handler(): MJPG: 9100B 46ms (21.74fps), AVG: 43ms (23.26fps), Temperature: 65.56
1738380149015,[183851][I][app_httpd.cpp:291] stream_handler(): MJPG: 9020B 40ms (25.00fps), AVG: 43ms (23.26fps), Temperature: 65.56
1738380149064,[183899][I][app_httpd.cpp:291] stream_handler(): MJPG: 9243B 48ms (20.83fps), AVG: 44ms (22.73fps), Temperature: 66.11
1738380149111,[183946][I][app_httpd.cpp:291] stream_handler(): MJPG: 9410B 46ms (21.74fps), AVG: 43ms (23.26fps), Temperature: 66.11
1738380149141,[183975][I][app_httpd.cpp:291] stream_handler(): MJPG: 9438B 29ms (34.48fps), AVG: 43ms (23.26fps), Temperature: 65.56
1738380149225,[184060][I][app_httpd.cpp:291] stream_handler(): MJPG: 9188B 84ms (11.90fps), AVG: 44ms (22.73fps), Temperature: 65.56
1738380149252,[184087][I][app_httpd.cpp:291] stream_handler(): MJPG: 9397B 27ms (37.04fps), AVG: 43ms (23.26fps), Temperature: 65.56
1738380149287,[184122][I][app_httpd.cpp:291] stream_handler(): MJPG: 9988B 34ms (29.41fps), AVG: 43ms (23.26fps), Temperature: 66.67
1738380149324,[184159][I][app_httpd.cpp:291] stream_handler(): MJPG: 9468B 37ms (27.03fps), AVG: 42ms (23.81fps), Temperature: 65.56
1738380149370,[184204][I][app_httpd.cpp:291] stream_handler(): MJPG: 9458B 44ms (22.73fps), AVG: 42ms (23.81fps), Temperature: 65.56
1738380149405,[184239][I][app_httpd.cpp:291] stream_handler(): MJPG: 9432B 35ms (28.57fps), AVG: 42ms (23.81fps), Temperature: 65.56
1738380149448,[184283][I][app_httpd.cpp:291] stream_handler(): MJPG: 9533B 43ms (23.26fps), AVG: 41ms (24.39fps), Temperature: 66.11
1738380149489,[184324][I][app_httpd.cpp:291] stream_handler(): MJPG: 9381B 40ms (25.00fps), AVG: 41ms (24.39fps), Temperature: 66.11
1738380149522,[184357][I][app_httpd.cpp:291] stream_handler(): MJPG: 9567B 33ms (30.30fps), AVG: 40ms (25.00fps), Temperature: 65.56
1738380149565,[184400][I][app_httpd.cpp:291] stream_handler(): MJPG: 9522B 42ms (23.81fps), AVG: 41ms (24.39fps), Temperature: 66.11
1738380149605,[184440][I][app_httpd.cpp:291] stream_handler(): MJPG: 9943B 40ms (25.00fps), AVG: 41ms (24.39fps), Temperature: 65.56
