1738983321328,[ 35845][I][app_httpd.cpp:291] stream_handler(): MJPG: 2030B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 58.89
1738983321348,[ 35865][I][app_httpd.cpp:291] stream_handler(): MJPG: 2030B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983321368,[ 35886][I][app_httpd.cpp:291] stream_handler(): MJPG: 2030B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 58.89
1738983321388,[ 35905][I][app_httpd.cpp:291] stream_handler(): MJPG: 2030B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 58.89
1738983321407,[ 35925][I][app_httpd.cpp:291] stream_handler(): MJPG: 2030B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 58.89
1738983321428,[ 35946][I][app_httpd.cpp:291] stream_handler(): MJPG: 2030B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983321448,[ 35966][I][app_httpd.cpp:291] stream_handler(): MJPG: 2030B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 58.89
1738983321468,[ 35985][I][app_httpd.cpp:291] stream_handler(): MJPG: 2030B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983321488,[ 36005][I][app_httpd.cpp:291] stream_handler(): MJPG: 2030B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 58.89
1738983321508,[ 36026][I][app_httpd.cpp:291] stream_handler(): MJPG: 2030B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 58.89
1738983321529,[ 36046][I][app_httpd.cpp:291] stream_handler(): MJPG: 2030B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983321548,[ 36066][I][app_httpd.cpp:291] stream_handler(): MJPG: 2030B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983321568,[ 36085][I][app_httpd.cpp:291] stream_handler(): MJPG: 2030B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983321588,[ 36105][I][app_httpd.cpp:291] stream_handler(): MJPG: 2030B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983321608,[ 36126][I][app_httpd.cpp:291] stream_handler(): MJPG: 2030B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 58.89
1738983321628,[ 36145][I][app_httpd.cpp:291] stream_handler(): MJPG: 2030B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 58.89
1738983321648,[ 36165][I][app_httpd.cpp:291] stream_handler(): MJPG: 2030B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983321668,[ 36186][I][app_httpd.cpp:291] stream_handler(): MJPG: 2030B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983321687,[ 36205][I][app_httpd.cpp:291] stream_handler(): MJPG: 2030B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 58.89
1738983321708,[ 36225][I][app_httpd.cpp:291] stream_handler(): MJPG: 2030B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 58.89
1738983321728,[ 36246][I][app_httpd.cpp:291] stream_handler(): MJPG: 2030B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 58.89
1738983321748,[ 36265][I][app_httpd.cpp:291] stream_handler(): MJPG: 2022B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983321768,[ 36286][I][app_httpd.cpp:291] stream_handler(): MJPG: 2022B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983321788,[ 36306][I][app_httpd.cpp:291] stream_handler(): MJPG: 2022B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983321807,[ 36325][I][app_httpd.cpp:291] stream_handler(): MJPG: 2022B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983321828,[ 36346][I][app_httpd.cpp:291] stream_handler(): MJPG: 2022B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983321848,[ 36366][I][app_httpd.cpp:291] stream_handler(): MJPG: 2022B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983321868,[ 36386][I][app_httpd.cpp:291] stream_handler(): MJPG: 2022B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983321888,[ 36406][I][app_httpd.cpp:291] stream_handler(): MJPG: 2022B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983321908,[ 36426][I][app_httpd.cpp:291] stream_handler(): MJPG: 2022B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 58.89
1738983321928,[ 36446][I][app_httpd.cpp:291] stream_handler(): MJPG: 2022B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 58.89
1738983321948,[ 36466][I][app_httpd.cpp:291] stream_handler(): MJPG: 2022B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983321967,[ 36485][I][app_httpd.cpp:291] stream_handler(): MJPG: 2022B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 58.89
1738983321988,[ 36506][I][app_httpd.cpp:291] stream_handler(): MJPG: 2022B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983322008,[ 36525][I][app_httpd.cpp:291] stream_handler(): MJPG: 2022B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983322028,[ 36545][I][app_httpd.cpp:291] stream_handler(): MJPG: 2022B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983322048,[ 36565][I][app_httpd.cpp:291] stream_handler(): MJPG: 2022B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983322069,[ 36586][I][app_httpd.cpp:291] stream_handler(): MJPG: 2022B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983322088,[ 36605][I][app_httpd.cpp:291] stream_handler(): MJPG: 2022B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983322108,[ 36625][I][app_httpd.cpp:291] stream_handler(): MJPG: 2022B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983322128,[ 36645][I][app_httpd.cpp:291] stream_handler(): MJPG: 2022B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983322153,[ 36670][I][app_httpd.cpp:291] stream_handler(): MJPG: 2022B 25ms (40.00fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983322168,[ 36686][I][app_httpd.cpp:291] stream_handler(): MJPG: 2116B 15ms (66.67fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983322188,[ 36705][I][app_httpd.cpp:291] stream_handler(): MJPG: 1930B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983322208,[ 36725][I][app_httpd.cpp:291] stream_handler(): MJPG: 1937B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983322228,[ 36745][I][app_httpd.cpp:291] stream_handler(): MJPG: 1934B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983322247,[ 36765][I][app_httpd.cpp:291] stream_handler(): MJPG: 1945B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983322268,[ 36785][I][app_httpd.cpp:291] stream_handler(): MJPG: 1974B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983322288,[ 36805][I][app_httpd.cpp:291] stream_handler(): MJPG: 1974B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983322308,[ 36825][I][app_httpd.cpp:291] stream_handler(): MJPG: 1987B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983322328,[ 36845][I][app_httpd.cpp:291] stream_handler(): MJPG: 1987B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 58.89
1738983322348,[ 36865][I][app_httpd.cpp:291] stream_handler(): MJPG: 1987B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 58.89
1738983322368,[ 36885][I][app_httpd.cpp:291] stream_handler(): MJPG: 1987B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 58.89
1738983322387,[ 36905][I][app_httpd.cpp:291] stream_handler(): MJPG: 1987B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 58.89
1738983322408,[ 36925][I][app_httpd.cpp:291] stream_handler(): MJPG: 1987B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983322427,[ 36945][I][app_httpd.cpp:291] stream_handler(): MJPG: 1987B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
