1738990491972,[ 33530][I][app_httpd.cpp:104] enable_led(): Set LED intensity to 0
1738990491998,[ 33551][I][app_httpd.cpp:291] stream_handler(): MJPG: 8898B 17878ms (0.06fps), AVG: 1659ms (0.60fps), Temperature: 58.33
1738990492024,[ 33578][I][app_httpd.cpp:291] stream_handler(): MJPG: 10145B 26ms (38.46fps), AVG: 1523ms (0.66fps), Temperature: 58.89
1738990492059,[ 33612][I][app_httpd.cpp:291] stream_handler(): MJPG: 11221B 34ms (29.41fps), AVG: 1408ms (0.71fps), Temperature: 58.33
1738990492091,[ 33645][I][app_httpd.cpp:291] stream_handler(): MJPG: 9157B 32ms (31.25fps), AVG: 1310ms (0.76fps), Temperature: 58.33
1738990492116,[ 33669][I][app_httpd.cpp:291] stream_handler(): MJPG: 10618B 24ms (41.67fps), AVG: 1224ms (0.82fps), Temperature: 58.33
1738990492142,[ 33695][I][app_httpd.cpp:291] stream_handler(): MJPG: 11407B 25ms (40.00fps), AVG: 1149ms (0.87fps), Temperature: 58.89
1738990492168,[ 33722][I][app_httpd.cpp:291] stream_handler(): MJPG: 12132B 26ms (38.46fps), AVG: 1083ms (0.92fps), Temperature: 58.89
1738990492201,[ 33754][I][app_httpd.cpp:291] stream_handler(): MJPG: 15812B 32ms (31.25fps), AVG: 1025ms (0.98fps), Temperature: 58.89
1738990492259,[ 33813][I][app_httpd.cpp:291] stream_handler(): MJPG: 9986B 58ms (17.24fps), AVG: 974ms (1.03fps), Temperature: 58.33
1738990492285,[ 33840][I][app_httpd.cpp:291] stream_handler(): MJPG: 8113B 26ms (38.46fps), AVG: 926ms (1.08fps), Temperature: 58.33
1738990492331,[ 33884][I][app_httpd.cpp:291] stream_handler(): MJPG: 9563B 44ms (22.73fps), AVG: 927ms (1.08fps), Temperature: 58.33
1738990492353,[ 33906][I][app_httpd.cpp:291] stream_handler(): MJPG: 8048B 22ms (45.45fps), AVG: 925ms (1.08fps), Temperature: 58.89
1738990492379,[ 33933][I][app_httpd.cpp:291] stream_handler(): MJPG: 13769B 26ms (38.46fps), AVG: 925ms (1.08fps), Temperature: 58.89
1738990492408,[ 33961][I][app_httpd.cpp:291] stream_handler(): MJPG: 11284B 28ms (35.71fps), AVG: 924ms (1.08fps), Temperature: 58.89
1738990492434,[ 33987][I][app_httpd.cpp:291] stream_handler(): MJPG: 11559B 26ms (38.46fps), AVG: 924ms (1.08fps), Temperature: 58.89
1738990492460,[ 34013][I][app_httpd.cpp:291] stream_handler(): MJPG: 10822B 25ms (40.00fps), AVG: 922ms (1.08fps), Temperature: 58.89
1738990492484,[ 34037][I][app_httpd.cpp:291] stream_handler(): MJPG: 10865B 24ms (41.67fps), AVG: 922ms (1.08fps), Temperature: 58.89
1738990492512,[ 34065][I][app_httpd.cpp:291] stream_handler(): MJPG: 12458B 28ms (35.71fps), AVG: 922ms (1.08fps), Temperature: 58.89
1738990492541,[ 34094][I][app_httpd.cpp:291] stream_handler(): MJPG: 12277B 28ms (35.71fps), AVG: 922ms (1.08fps), Temperature: 58.33
1738990492573,[ 34127][I][app_httpd.cpp:291] stream_handler(): MJPG: 13001B 32ms (31.25fps), AVG: 922ms (1.08fps), Temperature: 58.89
1738990492608,[ 34161][I][app_httpd.cpp:291] stream_handler(): MJPG: 12596B 34ms (29.41fps), AVG: 30ms (33.33fps), Temperature: 58.33
1738990492637,[ 34191][I][app_httpd.cpp:291] stream_handler(): MJPG: 10891B 29ms (34.48fps), AVG: 30ms (33.33fps), Temperature: 58.89
1738990492664,[ 34218][I][app_httpd.cpp:291] stream_handler(): MJPG: 10454B 27ms (37.04fps), AVG: 29ms (34.48fps), Temperature: 58.89
1738990492696,[ 34250][I][app_httpd.cpp:291] stream_handler(): MJPG: 12767B 32ms (31.25fps), AVG: 29ms (34.48fps), Temperature: 58.89
1738990492721,[ 34275][I][app_httpd.cpp:291] stream_handler(): MJPG: 11035B 24ms (41.67fps), AVG: 29ms (34.48fps), Temperature: 60.56
1738990492750,[ 34303][I][app_httpd.cpp:291] stream_handler(): MJPG: 12232B 28ms (35.71fps), AVG: 29ms (34.48fps), Temperature: 58.33
1738990492788,[ 34342][I][app_httpd.cpp:291] stream_handler(): MJPG: 14298B 38ms (26.32fps), AVG: 30ms (33.33fps), Temperature: 58.89
1738990492813,[ 34367][I][app_httpd.cpp:291] stream_handler(): MJPG: 9368B 25ms (40.00fps), AVG: 30ms (33.33fps), Temperature: 58.89
1738990492842,[ 34396][I][app_httpd.cpp:291] stream_handler(): MJPG: 13155B 28ms (35.71fps), AVG: 28ms (35.71fps), Temperature: 58.89
1738990492867,[ 34420][I][app_httpd.cpp:291] stream_handler(): MJPG: 12340B 24ms (41.67fps), AVG: 28ms (35.71fps), Temperature: 58.89
1738990492889,[ 34443][I][app_httpd.cpp:291] stream_handler(): MJPG: 10091B 22ms (45.45fps), AVG: 27ms (37.04fps), Temperature: 58.89
1738990492940,[ 34494][I][app_httpd.cpp:291] stream_handler(): MJPG: 13330B 51ms (19.61fps), AVG: 28ms (35.71fps), Temperature: 58.89
1738990492966,[ 34519][I][app_httpd.cpp:291] stream_handler(): MJPG: 10303B 25ms (40.00fps), AVG: 28ms (35.71fps), Temperature: 58.89
1738990493023,[ 34577][I][app_httpd.cpp:291] stream_handler(): MJPG: 11670B 57ms (17.54fps), AVG: 30ms (33.33fps), Temperature: 58.33
1738990493049,[ 34603][I][app_httpd.cpp:291] stream_handler(): MJPG: 9390B 26ms (38.46fps), AVG: 30ms (33.33fps), Temperature: 58.89
1738990493080,[ 34634][I][app_httpd.cpp:291] stream_handler(): MJPG: 13026B 30ms (33.33fps), AVG: 30ms (33.33fps), Temperature: 58.89
1738990493110,[ 34664][I][app_httpd.cpp:291] stream_handler(): MJPG: 11513B 29ms (34.48fps), AVG: 30ms (33.33fps), Temperature: 59.44
