Runtime,Bytes Transmitted,Instant Frame Time (ms),Instant FPS,Avg Frame Time (ms),Avg FPS,Temperature (C),Framesize,Voltage
55099,105670,40594,0.02,20862,0.05,61.11,1600x1200,Unknown
55685,115756,585,1.71,14103,0.07,61.11,1600x1200,Unknown
56193,110266,507,1.97,10704,0.09,61.67,1600x1200,Unknown
56725,108557,532,1.88,8669,0.12,61.11,1600x1200,Unknown
57458,105541,733,1.36,7347,0.14,61.67,1600x1200,Unknown
59086,108270,1627,0.61,6529,0.15,61.67,1600x1200,Unknown
60120,115905,1034,0.97,5842,0.17,61.67,1600x1200,Unknown
60969,104174,849,1.18,5288,0.19,62.22,1600x1200,Unknown
62097,108862,1128,0.89,4872,0.21,61.67,1600x1200,Unknown
63283,106766,1186,0.84,4536,0.22,61.67,1600x1200,Unknown
64554,111179,1270,0.79,4264,0.23,61.67,1600x1200,Unknown
65597,110022,1043,0.96,4016,0.25,61.67,1600x1200,Unknown
67134,114547,1536,0.65,3839,0.26,61.67,1600x1200,Unknown
68158,114195,1024,0.98,3651,0.27,62.22,1600x1200,Unknown
69281,111338,1122,0.89,3493,0.29,62.22,1600x1200,Unknown
70566,110466,1285,0.78,3363,0.30,62.78,1600x1200,Unknown
72076,108919,1510,0.66,3260,0.31,62.22,1600x1200,Unknown
74526,108299,2449,0.41,3218,0.31,62.78,1600x1200,Unknown
77353,112926,2827,0.35,3198,0.31,62.78,1600x1200,Unknown
80852,111702,3499,0.29,3317,0.30,63.33,1600x1200,Unknown
83733,111760,2880,0.35,1431,0.70,63.33,1600x1200,Unknown
86077,104450,2343,0.43,1519,0.66,63.89,1600x1200,Unknown
88023,101368,1946,0.51,1591,0.63,63.33,1600x1200,Unknown
89991,105291,1968,0.51,1662,0.60,63.89,1600x1200,Unknown
91425,103761,1434,0.70,1698,0.59,63.89,1600x1200,Unknown
94204,106216,2779,0.36,1755,0.57,64.44,1600x1200,Unknown
96943,106737,2738,0.37,1840,0.54,63.89,1600x1200,Unknown
98599,106828,1656,0.60,1881,0.53,64.44,1600x1200,Unknown
100930,112264,2330,0.43,1941,0.52,65.00,1600x1200,Unknown
102624,108641,1694,0.59,1966,0.51,65.00,1600x1200,Unknown
104137,103264,1513,0.66,1978,0.51,65.00,1600x1200,Unknown
105652,106073,1514,0.66,2002,0.50,65.00,1600x1200,Unknown
107265,102827,1612,0.62,2006,0.50,65.00,1600x1200,Unknown
108864,105494,1598,0.63,2034,0.49,65.00,1600x1200,Unknown
110705,104710,1841,0.54,2070,0.48,65.00,1600x1200,Unknown
112224,113571,1518,0.66,2082,0.48,65.56,1600x1200,Unknown
113591,113935,1367,0.73,2075,0.48,65.56,1600x1200,Unknown
114779,113765,1187,0.84,2012,0.50,65.56,1600x1200,Unknown
116338,114150,1559,0.64,1948,0.51,65.56,1600x1200,Unknown
117416,112307,1078,0.93,1827,0.55,65.56,1600x1200,Unknown
119259,108945,1842,0.54,1775,0.56,65.56,1600x1200,Unknown
120873,116936,1613,0.62,1739,0.58,65.56,1600x1200,Unknown
122311,112343,1438,0.70,1713,0.58,65.56,1600x1200,Unknown
123688,110703,1376,0.73,1684,0.59,65.56,1600x1200,Unknown
125428,108816,1740,0.57,1699,0.59,65.56,1600x1200,Unknown
126350,108125,921,1.09,1606,0.62,66.11,1600x1200,Unknown
127455,108358,1104,0.91,1525,0.66,66.11,1600x1200,Unknown
128339,106382,884,1.13,1486,0.67,66.11,1600x1200,Unknown
129327,104877,987,1.01,1419,0.70,66.11,1600x1200,Unknown
129827,105473,500,2.00,1359,0.74,66.11,1600x1200,Unknown
130391,111343,564,1.77,1312,0.76,66.11,1600x1200,Unknown
130918,110812,526,1.90,1262,0.79,66.11,1600x1200,Unknown
131438,111807,519,1.93,1208,0.83,66.67,1600x1200,Unknown
131951,108923,512,1.95,1153,0.87,66.11,1600x1200,Unknown
132503,112239,551,1.81,1089,0.92,66.67,1600x1200,Unknown
133023,113937,520,1.92,1039,0.96,66.67,1600x1200,Unknown
133531,108947,507,1.97,996,1.00,66.11,1600x1200,Unknown
133991,106583,460,2.17,960,1.04,66.67,1600x1200,Unknown
134523,108628,532,1.88,908,1.10,66.11,1600x1200,Unknown
135106,108485,582,1.72,883,1.13,66.11,1600x1200,Unknown
135559,106380,452,2.21,814,1.23,66.67,1600x1200,Unknown
136071,104501,512,1.95,759,1.32,66.67,1600x1200,Unknown
136679,108218,607,1.65,717,1.39,66.67,1600x1200,Unknown
137154,110254,475,2.11,672,1.49,66.67,1600x1200,Unknown
137637,105498,482,2.07,609,1.64,66.67,1600x1200,Unknown
138042,106871,405,2.47,584,1.71,66.67,1600x1200,Unknown
138591,113379,549,1.82,556,1.80,67.22,1600x1200,Unknown
139082,105547,491,2.04,536,1.87,67.22,1600x1200,Unknown
139623,105621,540,1.85,514,1.95,66.67,1600x1200,Unknown
139992,105427,369,2.71,507,1.97,66.67,1600x1200,Unknown
140559,112007,566,1.77,507,1.97,67.22,1600x1200,Unknown
141018,104461,458,2.18,504,1.98,66.67,1600x1200,Unknown
141507,106820,489,2.04,502,1.99,67.22,1600x1200,Unknown
142090,109173,582,1.72,506,1.98,67.22,1600x1200,Unknown
142539,107913,449,2.23,501,2.00,67.22,1600x1200,Unknown
143102,106574,562,1.78,503,1.99,66.67,1600x1200,Unknown
143683,106989,580,1.72,507,1.97,67.22,1600x1200,Unknown
144238,107281,555,1.80,511,1.96,66.67,1600x1200,Unknown
144762,110221,523,1.91,511,1.96,67.22,1600x1200,Unknown
145318,107122,556,1.80,510,1.96,67.22,1600x1200,Unknown
145744,103906,425,2.35,508,1.97,66.67,1600x1200,Unknown
146195,108121,451,2.22,505,1.98,67.22,1600x1200,Unknown
146670,106370,475,2.11,499,2.00,67.22,1600x1200,Unknown
147123,109422,452,2.21,497,2.01,67.22,1600x1200,Unknown
147590,109037,466,2.15,497,2.01,67.22,1600x1200,Unknown
148063,106232,472,2.12,500,2.00,67.22,1600x1200,Unknown
148570,106126,507,1.97,498,2.01,67.78,1600x1200,Unknown
149084,103190,513,1.95,499,2.00,67.22,1600x1200,Unknown
149559,106667,475,2.11,496,2.02,67.22,1600x1200,Unknown
150098,105230,539,1.86,504,1.98,67.22,1600x1200,Unknown
150622,106360,523,1.91,502,1.99,67.22,1600x1200,Unknown
151090,105397,467,2.14,503,1.99,67.22,1600x1200,Unknown
151461,104774,371,2.70,497,2.01,67.22,1600x1200,Unknown
151958,106694,497,2.01,492,2.03,67.22,1600x1200,Unknown
152383,105615,424,2.36,491,2.04,67.78,1600x1200,Unknown
152771,106609,387,2.58,482,2.07,67.22,1600x1200,Unknown
153307,107872,536,1.87,480,2.08,67.22,1600x1200,Unknown
153742,107284,435,2.30,474,2.11,67.78,1600x1200,Unknown
154190,107312,447,2.24,470,2.13,67.22,1600x1200,Unknown
154615,108349,425,2.35,464,2.16,67.78,1600x1200,Unknown
155242,112631,627,1.59,474,2.11,67.78,1600x1200,Unknown
155854,107420,612,1.63,482,2.07,67.78,1600x1200,Unknown
156454,107709,599,1.67,488,2.05,67.78,1600x1200,Unknown
156970,106113,515,1.94,491,2.04,67.78,1600x1200,Unknown
157419,106356,448,2.23,490,2.04,67.78,1600x1200,Unknown
158033,116770,614,1.63,498,2.01,67.78,1600x1200,Unknown
158502,106309,469,2.13,496,2.02,67.78,1600x1200,Unknown
159037,106744,535,1.87,497,2.01,67.78,1600x1200,Unknown
159665,109098,627,1.59,504,1.98,67.22,1600x1200,Unknown
160214,106733,548,1.82,505,1.98,67.78,1600x1200,Unknown
160694,105813,480,2.08,503,1.99,67.78,1600x1200,Unknown
161234,108055,539,1.86,506,1.98,67.78,1600x1200,Unknown
161826,104324,592,1.69,517,1.93,67.78,1600x1200,Unknown
162343,105086,517,1.93,518,1.93,67.22,1600x1200,Unknown
162914,105586,570,1.75,526,1.90,67.78,1600x1200,Unknown
163938,105878,1023,0.98,557,1.80,67.78,1600x1200,Unknown
164418,105499,480,2.08,555,1.80,68.33,1600x1200,Unknown
164996,106584,578,1.73,562,1.78,68.33,1600x1200,Unknown
165526,108689,530,1.89,566,1.77,68.33,1600x1200,Unknown
166055,108207,528,1.89,571,1.75,67.78,1600x1200,Unknown
166718,109620,662,1.51,573,1.75,67.78,1600x1200,Unknown
167609,111590,891,1.12,587,1.70,67.78,1600x1200,Unknown
168338,111049,729,1.37,593,1.69,68.33,1600x1200,Unknown
168910,104518,571,1.75,596,1.68,68.33,1600x1200,Unknown
169778,107019,868,1.15,617,1.62,67.78,1600x1200,Unknown
170525,111595,746,1.34,624,1.60,68.33,1600x1200,Unknown
171225,111116,699,1.43,635,1.57,67.78,1600x1200,Unknown
171885,103819,660,1.52,641,1.56,68.33,1600x1200,Unknown
172609,106202,724,1.38,646,1.55,67.78,1600x1200,Unknown
173366,106124,756,1.32,657,1.52,68.33,1600x1200,Unknown
174091,105572,725,1.38,669,1.49,68.33,1600x1200,Unknown
174761,102924,670,1.49,675,1.48,68.33,1600x1200,Unknown
175457,108066,696,1.44,681,1.47,68.33,1600x1200,Unknown
176170,106482,712,1.40,690,1.45,68.33,1600x1200,Unknown
176857,104898,686,1.46,696,1.44,68.89,1600x1200,Unknown
177490,106933,633,1.58,677,1.48,68.89,1600x1200,Unknown
178216,105176,726,1.38,689,1.45,68.33,1600x1200,Unknown
179188,104385,971,1.03,709,1.41,68.33,1600x1200,Unknown
179929,105923,740,1.35,719,1.39,68.33,1600x1200,Unknown
180535,106252,606,1.65,723,1.38,68.33,1600x1200,Unknown
181178,108149,643,1.56,722,1.39,68.33,1600x1200,Unknown
181913,111848,734,1.36,714,1.40,68.89,1600x1200,Unknown
182589,105394,675,1.48,712,1.40,68.89,1600x1200,Unknown
183133,107564,544,1.84,710,1.41,68.33,1600x1200,Unknown
183801,109225,667,1.50,700,1.43,68.33,1600x1200,Unknown
184410,104693,608,1.64,693,1.44,68.33,1600x1200,Unknown
185002,106722,592,1.69,688,1.45,68.89,1600x1200,Unknown
