Runtime,Bytes Transmitted,Instant Frame Time (ms),Instant FPS,Avg Frame Time (ms),Avg FPS,Temperature (C),Framesize,Voltage
102561,26488,32098,0.03,2530,0.40,63.33,800x600,Unknown
102680,27068,119,8.40,2532,0.39,63.33,800x600,Unknown
102837,27390,156,6.41,2534,0.39,63.33,800x600,Unknown
103002,27849,164,6.10,2539,0.39,63.33,800x600,Unknown
103104,29245,102,9.80,2541,0.39,63.33,800x600,Unknown
103240,28565,135,7.41,2544,0.39,63.33,800x600,Unknown
103368,29509,128,7.81,2546,0.39,63.33,800x600,Unknown
103480,29294,111,9.01,1732,0.58,63.33,800x600,Unknown
103627,29265,146,6.85,1733,0.58,63.89,800x600,Unknown
103751,27758,124,8.06,1735,0.58,63.33,800x600,Unknown
103877,28099,125,8.00,1735,0.58,63.33,800x600,Unknown
103997,28295,120,8.33,1733,0.58,63.89,800x600,Unknown
104148,28925,151,6.62,1735,0.58,63.33,800x600,Unknown
104269,28559,121,8.26,1735,0.58,63.89,800x600,Unknown
104381,28210,111,9.01,1730,0.58,63.33,800x600,Unknown
104526,27796,144,6.94,1729,0.58,63.89,800x600,Unknown
104685,29605,158,6.33,1731,0.58,63.33,800x600,Unknown
104816,27633,131,7.63,1730,0.58,63.89,800x600,Unknown
104937,28307,120,8.33,1728,0.58,63.89,800x600,Unknown
105185,29682,248,4.03,1735,0.58,63.33,800x600,Unknown
105289,27308,103,9.71,135,7.41,63.33,800x600,Unknown
105376,27507,86,11.63,134,7.46,63.89,800x600,Unknown
105509,27667,133,7.52,133,7.52,63.89,800x600,Unknown
105617,27707,108,9.26,130,7.69,63.33,800x600,Unknown
105821,27638,203,4.93,135,7.41,63.89,800x600,Unknown
105939,27543,118,8.47,134,7.46,63.89,800x600,Unknown
106047,27786,108,9.26,133,7.52,63.89,800x600,Unknown
106215,29740,167,5.99,136,7.35,63.89,800x600,Unknown
106425,28399,209,4.78,139,7.19,63.33,800x600,Unknown
106549,27590,124,8.06,139,7.19,63.89,800x600,Unknown
106674,27198,124,8.06,139,7.19,63.89,800x600,Unknown
106781,27681,106,9.43,138,7.25,63.89,800x600,Unknown
106917,27466,135,7.41,137,7.30,63.89,800x600,Unknown
107083,27460,166,6.02,140,7.14,63.89,800x600,Unknown
107201,26549,117,8.55,140,7.14,63.89,800x600,Unknown
107321,28733,119,8.40,139,7.19,63.89,800x600,Unknown
107415,28607,94,10.64,135,7.41,63.89,800x600,Unknown
107549,28015,133,7.52,136,7.35,63.89,800x600,Unknown
107725,27980,175,5.71,138,7.25,63.89,800x600,Unknown
107861,27452,136,7.35,133,7.52,63.89,800x600,Unknown
107989,27373,127,7.87,134,7.46,63.89,800x600,Unknown
