Runtime,Bytes Transmitted,Instant Frame Time (ms),Instant FPS,Avg Frame Time (ms),Avg FPS,Temperature (C),Framesize,Voltage
34627,4366,29714,0.03,2496,0.40,58.89,320x240,Unknown
34640,4597,13,76.92,2305,0.43,59.44,320x240,Unknown
34667,4597,27,37.04,2143,0.47,59.44,320x240,Unknown
34688,5421,20,50.00,2001,0.50,59.44,320x240,Unknown
34708,5450,20,50.00,1877,0.53,59.44,320x240,Unknown
34733,5035,25,40.00,1768,0.57,59.44,320x240,Unknown
34776,5450,42,23.81,1672,0.60,59.44,320x240,Unknown
34794,4331,17,58.82,1585,0.63,60.56,320x240,Unknown
34808,5531,13,76.92,1507,0.66,59.44,320x240,Unknown
34860,5531,52,19.23,1509,0.66,59.44,320x240,Unknown
34881,4565,20,50.00,1509,0.66,59.44,320x240,Unknown
34906,5770,25,40.00,1509,0.66,59.44,320x240,Unknown
34925,5770,18,55.56,1509,0.66,60.56,320x240,Unknown
34951,4880,26,38.46,1509,0.66,59.44,320x240,Unknown
34975,5770,24,41.67,1509,0.66,60.00,320x240,Unknown
34998,5967,22,45.45,1509,0.66,59.44,320x240,Unknown
35020,5967,21,47.62,1508,0.66,59.44,320x240,Unknown
35045,5967,25,40.00,1509,0.66,59.44,320x240,Unknown
35069,5967,24,41.67,1508,0.66,59.44,320x240,Unknown
35082,5031,13,76.92,1508,0.66,60.00,320x240,Unknown
35112,5031,30,33.33,23,43.48,60.00,320x240,Unknown
35138,5967,25,40.00,24,41.67,59.44,320x240,Unknown
35156,5967,18,55.56,24,41.67,59.44,320x240,Unknown
35176,5078,19,52.63,23,43.48,59.44,320x240,Unknown
35197,5967,21,47.62,24,41.67,59.44,320x240,Unknown
35216,5967,18,55.56,23,43.48,59.44,320x240,Unknown
35239,5065,23,43.48,22,45.45,59.44,320x240,Unknown
35258,5967,18,55.56,22,45.45,59.44,320x240,Unknown
35277,5967,19,52.63,23,43.48,59.44,320x240,Unknown
35297,5967,19,52.63,21,47.62,60.56,320x240,Unknown
35318,5967,21,47.62,21,47.62,60.00,320x240,Unknown
35345,5967,26,38.46,21,47.62,59.44,320x240,Unknown
35366,5967,21,47.62,21,47.62,59.44,320x240,Unknown
35420,5967,53,18.87,23,43.48,59.44,320x240,Unknown
35433,4412,13,76.92,22,45.45,59.44,320x240,Unknown
35457,5967,24,41.67,22,45.45,60.00,320x240,Unknown
35496,5967,38,26.32,23,43.48,59.44,320x240,Unknown
35517,4565,20,50.00,23,43.48,59.44,320x240,Unknown
35538,6079,21,47.62,23,43.48,59.44,320x240,Unknown
35561,6079,22,45.45,23,43.48,60.00,320x240,Unknown
35585,6079,24,41.67,23,43.48,60.56,320x240,Unknown
35606,6079,20,50.00,22,45.45,59.44,320x240,Unknown
35634,6079,27,37.04,23,43.48,60.00,320x240,Unknown
35653,6079,18,55.56,23,43.48,60.00,320x240,Unknown
35676,6079,22,45.45,23,43.48,60.00,320x240,Unknown
35696,6151,20,50.00,23,43.48,60.00,320x240,Unknown
35722,5950,25,40.00,23,43.48,60.00,320x240,Unknown
35744,5950,21,47.62,23,43.48,60.00,320x240,Unknown
35765,5950,21,47.62,23,43.48,60.56,320x240,Unknown
35789,5950,23,43.48,24,41.67,60.56,320x240,Unknown
35817,5950,28,35.71,24,41.67,60.00,320x240,Unknown
35839,6082,21,47.62,24,41.67,60.00,320x240,Unknown
35864,6149,24,41.67,24,41.67,60.00,320x240,Unknown
35890,5651,26,38.46,22,45.45,61.11,320x240,Unknown
35914,5651,23,43.48,23,43.48,60.56,320x240,Unknown
35935,5651,21,47.62,23,43.48,60.00,320x240,Unknown
35961,6200,25,40.00,22,45.45,60.00,320x240,Unknown
36001,5495,40,25.00,23,43.48,60.00,320x240,Unknown
36014,4507,13,76.92,23,43.48,60.00,320x240,Unknown
36032,5495,17,58.82,22,45.45,60.00,320x240,Unknown
36052,5495,19,52.63,22,45.45,60.00,320x240,Unknown
