Runtime,Bytes Transmitted,Instant Frame Time (ms),Instant FPS,Avg Frame Time (ms),Avg FPS,Temperature (C),Framesize,Voltage
74376,46064,32552,0.03,11911,0.08,63.33,1280x720,Unknown
74566,45842,189,5.29,9957,0.10,63.33,1280x720,Unknown
75008,47416,442,2.26,8598,0.12,63.33,1280x720,Unknown
75188,43580,179,5.59,7545,0.13,63.33,1280x720,Unknown
75392,46551,204,4.90,6730,0.15,63.33,1280x720,Unknown
75624,47772,231,4.33,6080,0.16,63.33,1280x720,Unknown
75797,45165,172,5.81,5543,0.18,63.33,1280x720,Unknown
76006,45033,209,4.78,5098,0.20,63.33,1280x720,Unknown
76221,45363,214,4.67,4722,0.21,63.33,1280x720,Unknown
76425,43127,204,4.90,4400,0.23,63.33,1280x720,Unknown
76607,42964,181,5.52,4118,0.24,63.33,1280x720,Unknown
76787,45514,180,5.56,3872,0.26,63.33,1280x720,Unknown
76992,47390,205,4.88,3656,0.27,63.33,1280x720,Unknown
77197,44200,204,4.90,3465,0.29,63.33,1280x720,Unknown
77389,47427,191,5.24,3292,0.30,63.89,1280x720,Unknown
77624,45941,235,4.26,3139,0.32,63.33,1280x720,Unknown
77873,45729,248,4.03,2492,0.40,63.89,1280x720,Unknown
78077,45636,204,4.90,2463,0.41,63.33,1280x720,Unknown
78308,46932,230,4.35,1862,0.54,63.33,1280x720,Unknown
78548,47249,240,4.17,1835,0.54,63.89,1280x720,Unknown
78752,46093,203,4.93,218,4.59,63.89,1280x720,Unknown
78975,47380,222,4.50,219,4.57,63.33,1280x720,Unknown
79249,48848,273,3.66,211,4.74,63.33,1280x720,Unknown
79453,47377,204,4.90,212,4.72,63.33,1280x720,Unknown
80035,51679,582,1.72,231,4.33,63.89,1280x720,Unknown
80244,47295,208,4.81,230,4.35,63.33,1280x720,Unknown
80508,47148,263,3.80,235,4.26,63.89,1280x720,Unknown
80716,46642,208,4.81,234,4.27,63.33,1280x720,Unknown
80944,49578,227,4.41,235,4.26,63.33,1280x720,Unknown
81204,48859,260,3.85,238,4.20,63.89,1280x720,Unknown
81476,49498,271,3.69,242,4.13,63.89,1280x720,Unknown
81828,50706,352,2.84,251,3.98,63.33,1280x720,Unknown
82092,47779,263,3.80,254,3.94,63.89,1280x720,Unknown
82380,47939,288,3.47,258,3.88,63.89,1280x720,Unknown
82692,51294,311,3.22,264,3.79,63.89,1280x720,Unknown
83071,49180,379,2.64,271,3.69,63.89,1280x720,Unknown
83508,48353,436,2.29,281,3.56,63.89,1280x720,Unknown
83956,48817,447,2.24,293,3.41,63.89,1280x720,Unknown
84856,46601,900,1.11,326,3.07,63.89,1280x720,Unknown
85163,49692,306,3.27,330,3.03,63.89,1280x720,Unknown
85484,47313,320,3.12,336,2.98,63.89,1280x720,Unknown
85728,46529,243,4.12,337,2.97,63.89,1280x720,Unknown
85968,48570,240,4.17,335,2.99,63.89,1280x720,Unknown
86339,48591,371,2.70,343,2.92,63.89,1280x720,Unknown
86553,50476,213,4.69,325,3.08,63.89,1280x720,Unknown
86915,46713,362,2.76,333,3.00,63.89,1280x720,Unknown
87260,47458,345,2.90,337,2.97,63.89,1280x720,Unknown
87648,43837,387,2.58,346,2.89,64.44,1280x720,Unknown
87977,46037,329,3.04,351,2.85,64.44,1280x720,Unknown
88248,47720,270,3.70,351,2.85,63.89,1280x720,Unknown
88479,47916,231,4.33,349,2.87,63.89,1280x720,Unknown
88824,47111,344,2.91,349,2.87,64.44,1280x720,Unknown
89048,45556,223,4.48,347,2.88,63.89,1280x720,Unknown
89356,49669,307,3.26,348,2.87,64.44,1280x720,Unknown
89552,47508,195,5.13,342,2.92,64.44,1280x720,Unknown
89824,49247,272,3.68,337,2.97,64.44,1280x720,Unknown
90112,49321,287,3.48,329,3.04,64.44,1280x720,Unknown
90480,49087,368,2.72,325,3.08,64.44,1280x720,Unknown
90976,48312,495,2.02,305,3.28,63.89,1280x720,Unknown
91272,46445,296,3.38,304,3.29,64.44,1280x720,Unknown
91556,47871,283,3.53,303,3.30,64.44,1280x720,Unknown
91768,47912,212,4.72,301,3.32,64.44,1280x720,Unknown
92118,50449,349,2.87,306,3.27,64.44,1280x720,Unknown
92396,46884,278,3.60,302,3.31,64.44,1280x720,Unknown
92836,48312,439,2.28,313,3.19,64.44,1280x720,Unknown
93236,47662,400,2.50,315,3.17,65.00,1280x720,Unknown
93468,48252,231,4.33,309,3.24,64.44,1280x720,Unknown
93879,47928,411,2.43,311,3.22,64.44,1280x720,Unknown
94179,48081,300,3.33,309,3.24,64.44,1280x720,Unknown
94480,47529,300,3.33,311,3.22,64.44,1280x720,Unknown
94727,46814,247,4.05,311,3.22,64.44,1280x720,Unknown
95008,48317,280,3.57,308,3.25,64.44,1280x720,Unknown
95337,47499,328,3.05,313,3.19,65.00,1280x720,Unknown
95571,48014,234,4.27,310,3.23,64.44,1280x720,Unknown
95876,48279,304,3.29,315,3.17,64.44,1280x720,Unknown
96661,48701,785,1.27,341,2.93,64.44,1280x720,Unknown
