Runtime,Bytes Transmitted,Instant Frame Time (ms),Instant FPS,Avg Frame Time (ms),Avg FPS,Temperature (C),Framesize,Voltage
33551,8898,17878,0.06,1659,0.60,58.33,400x296,Unknown
33578,10145,26,38.46,1523,0.66,58.89,400x296,Unknown
33612,11221,34,29.41,1408,0.71,58.33,400x296,Unknown
33645,9157,32,31.25,1310,0.76,58.33,400x296,Unknown
33669,10618,24,41.67,1224,0.82,58.33,400x296,Unknown
33695,11407,25,40.00,1149,0.87,58.89,400x296,Unknown
33722,12132,26,38.46,1083,0.92,58.89,400x296,Unknown
33754,15812,32,31.25,1025,0.98,58.89,400x296,Unknown
33813,9986,58,17.24,974,1.03,58.33,400x296,Unknown
33840,8113,26,38.46,926,1.08,58.33,400x296,Unknown
33884,9563,44,22.73,927,1.08,58.33,400x296,Unknown
33906,8048,22,45.45,925,1.08,58.89,400x296,Unknown
33933,13769,26,38.46,925,1.08,58.89,400x296,Unknown
33961,11284,28,35.71,924,1.08,58.89,400x296,Unknown
33987,11559,26,38.46,924,1.08,58.89,400x296,Unknown
34013,10822,25,40.00,922,1.08,58.89,400x296,Unknown
34037,10865,24,41.67,922,1.08,58.89,400x296,Unknown
34065,12458,28,35.71,922,1.08,58.89,400x296,Unknown
34094,12277,28,35.71,922,1.08,58.33,400x296,Unknown
34127,13001,32,31.25,922,1.08,58.89,400x296,Unknown
34161,12596,34,29.41,30,33.33,58.33,400x296,Unknown
34191,10891,29,34.48,30,33.33,58.89,400x296,Unknown
34218,10454,27,37.04,29,34.48,58.89,400x296,Unknown
34250,12767,32,31.25,29,34.48,58.89,400x296,Unknown
34275,11035,24,41.67,29,34.48,60.56,400x296,Unknown
34303,12232,28,35.71,29,34.48,58.33,400x296,Unknown
34342,14298,38,26.32,30,33.33,58.89,400x296,Unknown
34367,9368,25,40.00,30,33.33,58.89,400x296,Unknown
34396,13155,28,35.71,28,35.71,58.89,400x296,Unknown
34420,12340,24,41.67,28,35.71,58.89,400x296,Unknown
34443,10091,22,45.45,27,37.04,58.89,400x296,Unknown
34494,13330,51,19.61,28,35.71,58.89,400x296,Unknown
34519,10303,25,40.00,28,35.71,58.89,400x296,Unknown
34577,11670,57,17.54,30,33.33,58.33,400x296,Unknown
34603,9390,26,38.46,30,33.33,58.89,400x296,Unknown
34634,13026,30,33.33,30,33.33,58.89,400x296,Unknown
34664,11513,29,34.48,30,33.33,59.44,400x296,Unknown
34690,13301,26,38.46,30,33.33,58.89,400x296,Unknown
34721,11899,30,33.33,30,33.33,58.89,400x296,Unknown
34760,14328,38,26.32,31,32.26,58.89,400x296,Unknown
34787,11848,27,37.04,30,33.33,58.89,400x296,Unknown
34814,12080,26,38.46,30,33.33,58.89,400x296,Unknown
34844,11764,30,33.33,30,33.33,58.89,400x296,Unknown
34877,13516,32,31.25,30,33.33,58.89,400x296,Unknown
34905,11923,28,35.71,31,32.26,58.89,400x296,Unknown
34933,12061,27,37.04,30,33.33,58.89,400x296,Unknown
34965,12775,32,31.25,30,33.33,58.89,400x296,Unknown
34986,11123,21,47.62,30,33.33,60.00,400x296,Unknown
35021,10274,34,29.41,30,33.33,58.89,400x296,Unknown
35049,11423,27,37.04,30,33.33,58.89,400x296,Unknown
35075,9293,26,38.46,31,32.26,58.89,400x296,Unknown
35098,11047,22,45.45,29,34.48,59.44,400x296,Unknown
35155,12967,57,17.54,31,32.26,59.44,400x296,Unknown
35178,7849,22,45.45,29,34.48,58.89,400x296,Unknown
35234,10777,56,17.86,31,32.26,58.89,400x296,Unknown
35256,7907,21,47.62,30,33.33,60.00,400x296,Unknown
35286,11182,30,33.33,30,33.33,58.89,400x296,Unknown
35318,10531,31,32.26,30,33.33,58.89,400x296,Unknown
35344,10147,26,38.46,30,33.33,59.44,400x296,Unknown
35369,11361,24,41.67,29,34.48,59.44,400x296,Unknown
35397,11814,27,37.04,29,34.48,59.44,400x296,Unknown
35425,13337,28,35.71,30,33.33,59.44,400x296,Unknown
35462,12898,37,27.03,30,33.33,59.44,400x296,Unknown
35485,7948,23,43.48,29,34.48,58.89,400x296,Unknown
35508,11211,23,43.48,29,34.48,60.56,400x296,Unknown
35543,9792,34,29.41,30,33.33,58.89,400x296,Unknown
35567,11063,24,41.67,29,34.48,58.89,400x296,Unknown
35600,11271,33,30.30,30,33.33,59.44,400x296,Unknown
35627,11750,26,38.46,29,34.48,58.89,400x296,Unknown
35652,11234,24,41.67,29,34.48,58.89,400x296,Unknown
35683,10355,30,33.33,29,34.48,60.56,400x296,Unknown
35710,13110,27,37.04,30,33.33,59.44,400x296,Unknown
35734,10027,24,41.67,28,35.71,60.00,400x296,Unknown
35797,11357,62,16.13,30,33.33,58.89,400x296,Unknown
35817,7961,20,50.00,28,35.71,59.44,400x296,Unknown
35868,11194,51,19.61,30,33.33,59.44,400x296,Unknown
35894,9335,25,40.00,29,34.48,59.44,400x296,Unknown
35922,13757,27,37.04,29,34.48,59.44,400x296,Unknown
35954,13739,32,31.25,30,33.33,59.44,400x296,Unknown
35978,9516,24,41.67,30,33.33,60.00,400x296,Unknown
36005,10722,27,37.04,30,33.33,59.44,400x296,Unknown
36034,12314,28,35.71,30,33.33,60.00,400x296,Unknown
36061,11825,27,37.04,29,34.48,59.44,400x296,Unknown
36093,13753,31,32.26,29,34.48,58.89,400x296,Unknown
36119,11129,25,40.00,30,33.33,59.44,400x296,Unknown
36152,12076,33,30.30,30,33.33,59.44,400x296,Unknown
36177,10022,24,41.67,30,33.33,59.44,400x296,Unknown
36209,12691,32,31.25,29,34.48,59.44,400x296,Unknown
36232,9756,22,45.45,29,34.48,59.44,400x296,Unknown
36261,11626,28,35.71,29,34.48,60.00,400x296,Unknown
36297,14078,36,27.78,30,33.33,58.89,400x296,Unknown
36325,10680,28,35.71,30,33.33,61.67,400x296,Unknown
36353,12558,27,37.04,30,33.33,60.56,400x296,Unknown
36383,12136,30,33.33,28,35.71,61.11,400x296,Unknown
36412,12943,28,35.71,29,34.48,59.44,400x296,Unknown
36438,11785,26,38.46,28,35.71,59.44,400x296,Unknown
36486,14076,47,21.28,29,34.48,59.44,400x296,Unknown
36510,7994,24,41.67,28,35.71,59.44,400x296,Unknown
36564,10394,53,18.87,30,33.33,58.89,400x296,Unknown
36586,8842,22,45.45,29,34.48,58.89,400x296,Unknown
36615,9504,29,34.48,30,33.33,59.44,400x296,Unknown
36647,11585,31,32.26,30,33.33,60.56,400x296,Unknown
36682,11686,35,28.57,30,33.33,61.11,400x296,Unknown
36721,12415,38,26.32,30,33.33,60.00,400x296,Unknown
36743,9150,22,45.45,30,33.33,59.44,400x296,Unknown
36773,13587,30,33.33,30,33.33,59.44,400x296,Unknown
36807,10855,33,30.30,31,32.26,59.44,400x296,Unknown
36841,11596,33,30.30,31,32.26,60.00,400x296,Unknown
36867,11111,25,40.00,31,32.26,59.44,400x296,Unknown
36894,9829,27,37.04,31,32.26,60.00,400x296,Unknown
36925,13515,30,33.33,30,33.33,60.00,400x296,Unknown
36955,12842,29,34.48,30,33.33,60.56,400x296,Unknown
36983,12427,28,35.71,31,32.26,59.44,400x296,Unknown
37015,12394,31,32.26,31,32.26,59.44,400x296,Unknown
37042,11654,26,38.46,30,33.33,61.67,400x296,Unknown
37069,13335,27,37.04,31,32.26,59.44,400x296,Unknown
37094,11032,24,41.67,29,34.48,60.56,400x296,Unknown
37153,11561,58,17.24,31,32.26,60.00,400x296,Unknown
37174,7909,21,47.62,29,34.48,60.00,400x296,Unknown
37237,11416,62,16.13,31,32.26,59.44,400x296,Unknown
37258,8500,21,47.62,31,32.26,59.44,400x296,Unknown
37287,11643,28,35.71,31,32.26,60.00,400x296,Unknown
37322,10966,35,28.57,31,32.26,60.00,400x296,Unknown
37346,12133,23,43.48,30,33.33,61.11,400x296,Unknown
37371,10269,24,41.67,30,33.33,60.00,400x296,Unknown
37403,11862,32,31.25,30,33.33,59.44,400x296,Unknown
37430,11146,26,38.46,30,33.33,60.00,400x296,Unknown
37456,10460,26,38.46,30,33.33,60.00,400x296,Unknown
37485,12743,28,35.71,30,33.33,59.44,400x296,Unknown
37514,12266,29,34.48,30,33.33,59.44,400x296,Unknown
37546,11606,31,32.26,30,33.33,61.11,400x296,Unknown
37574,11611,28,35.71,30,33.33,60.00,400x296,Unknown
37608,12820,34,29.41,30,33.33,60.00,400x296,Unknown
37641,12225,32,31.25,30,33.33,60.00,400x296,Unknown
37671,12620,30,33.33,30,33.33,62.22,400x296,Unknown
37700,12102,28,35.71,31,32.26,60.00,400x296,Unknown
37732,10942,32,31.25,31,32.26,59.44,400x296,Unknown
37776,10458,43,23.26,30,33.33,59.44,400x296,Unknown
37804,9478,28,35.71,31,32.26,59.44,400x296,Unknown
37855,9190,51,19.61,30,33.33,59.44,400x296,Unknown
37879,8520,23,43.48,30,33.33,60.00,400x296,Unknown
37910,11904,31,32.26,30,33.33,59.44,400x296,Unknown
37937,11163,27,37.04,30,33.33,60.00,400x296,Unknown
37964,11539,26,38.46,30,33.33,60.56,400x296,Unknown
37988,11209,23,43.48,30,33.33,60.00,400x296,Unknown
38020,9397,32,31.25,30,33.33,60.56,400x296,Unknown
38050,12186,29,34.48,30,33.33,60.00,400x296,Unknown
38076,10164,25,40.00,30,33.33,60.56,400x296,Unknown
38102,11515,26,38.46,30,33.33,59.44,400x296,Unknown
38128,11388,26,38.46,30,33.33,60.00,400x296,Unknown
38156,11106,27,37.04,30,33.33,60.00,400x296,Unknown
38183,11936,27,37.04,30,33.33,60.00,400x296,Unknown
38209,11277,26,38.46,29,34.48,59.44,400x296,Unknown
38234,9525,25,40.00,29,34.48,60.00,400x296,Unknown
38265,13789,30,33.33,29,34.48,60.56,400x296,Unknown
38293,13389,28,35.71,29,34.48,59.44,400x296,Unknown
38322,11525,29,34.48,29,34.48,59.44,400x296,Unknown
38356,10477,34,29.41,28,35.71,59.44,400x296,Unknown
38380,9102,23,43.48,28,35.71,60.00,400x296,Unknown
38437,12655,57,17.54,28,35.71,59.44,400x296,Unknown
38461,8294,24,41.67,28,35.71,60.00,400x296,Unknown
38510,11202,48,20.83,29,34.48,61.11,400x296,Unknown
38530,7885,20,50.00,29,34.48,60.00,400x296,Unknown
38556,10271,25,40.00,29,34.48,59.44,400x296,Unknown
38586,13644,30,33.33,29,34.48,60.56,400x296,Unknown
38613,13202,26,38.46,29,34.48,60.00,400x296,Unknown
38639,12292,26,38.46,29,34.48,60.00,400x296,Unknown
38669,13232,30,33.33,29,34.48,60.56,400x296,Unknown
38696,11570,26,38.46,29,34.48,59.44,400x296,Unknown
38720,11116,24,41.67,29,34.48,60.56,400x296,Unknown
38755,12593,35,28.57,29,34.48,60.00,400x296,Unknown
38778,9644,22,45.45,29,34.48,60.00,400x296,Unknown
38802,12191,24,41.67,29,34.48,61.11,400x296,Unknown
38834,12718,31,32.26,29,34.48,60.00,400x296,Unknown
38863,11242,29,34.48,29,34.48,60.00,400x296,Unknown
38889,11821,26,38.46,29,34.48,60.56,400x296,Unknown
38922,12156,32,31.25,29,34.48,62.22,400x296,Unknown
38958,14960,35,28.57,29,34.48,60.00,400x296,Unknown
38987,11173,29,34.48,29,34.48,60.00,400x296,Unknown
39011,10046,23,43.48,28,35.71,60.56,400x296,Unknown
39046,12035,35,28.57,28,35.71,60.00,400x296,Unknown
39079,12727,33,30.30,28,35.71,60.00,400x296,Unknown
39106,10861,26,38.46,28,35.71,60.00,400x296,Unknown
39163,10712,56,17.86,29,34.48,60.00,400x296,Unknown
39186,8727,23,43.48,29,34.48,60.00,400x296,Unknown
39206,9216,20,50.00,29,34.48,60.00,400x296,Unknown
39255,8920,48,20.83,30,33.33,59.44,400x296,Unknown
39279,8437,23,43.48,30,33.33,60.00,400x296,Unknown
39304,11076,25,40.00,29,34.48,61.11,400x296,Unknown
39335,11757,31,32.26,30,33.33,60.56,400x296,Unknown
39367,11751,31,32.26,30,33.33,60.56,400x296,Unknown
39398,12996,30,33.33,30,33.33,60.00,400x296,Unknown
39426,13350,27,37.04,30,33.33,60.00,400x296,Unknown
39454,11348,28,35.71,30,33.33,60.56,400x296,Unknown
39485,12167,30,33.33,30,33.33,60.00,400x296,Unknown
39517,12492,32,31.25,30,33.33,60.00,400x296,Unknown
39553,12187,36,27.78,31,32.26,61.67,400x296,Unknown
39578,10226,25,40.00,30,33.33,62.22,400x296,Unknown
39604,11794,26,38.46,30,33.33,60.00,400x296,Unknown
39630,13313,25,40.00,30,33.33,60.00,400x296,Unknown
